pair,class0,class1,m,r,me_large_acc,me_large_std,me_small_acc,me_small_std,original_large_acc,original_large_std,original_small_acc,original_small_std,kfda_acc,kfda_std,supcon_acc,supcon_std,original_best_acc,original_best_family,me_best_acc,me_best_family,me_minus_original,me_minus_kfda,me_minus_supcon,me_original_abs_gap,minimum_baseline_margin,me_retains_original_and_wins
airplane vs bird,airplane,bird,4,1,0.9558333333333332,0.010103629710818492,0.9641666666666667,0.01282900359861724,0.9508333333333333,0.005204164998665346,0.5850000000000001,0.04337337893224374,0.9466666666666667,0.01587713240271469,0.9658333333333333,0.005204164998665346,0.9508333333333333,large_mu,0.9641666666666667,small_mu,0.01333333333333342,0.01750000000000007,-0.0016666666666665941,0.01333333333333342,-0.0016666666666665941,False
airplane vs bird,airplane,bird,4,2,0.9575,0.007499999999999993,0.9633333333333334,0.011273124382057203,0.9516666666666667,0.006291528696058967,0.5850000000000001,0.022220486043288957,0.9466666666666667,0.01587713240271469,0.9658333333333333,0.005204164998665346,0.9516666666666667,large_mu,0.9633333333333334,small_mu,0.011666666666666714,0.01666666666666672,-0.0024999999999999467,0.011666666666666714,-0.0024999999999999467,False
airplane vs bird,airplane,bird,4,4,0.96,0.006614378277661472,0.9608333333333333,0.006291528696058989,0.9525,0.0043301270189222375,0.5883333333333334,0.0287590565445623,0.9466666666666667,0.01587713240271469,0.965,0.0075000000000000205,0.9525,large_mu,0.9608333333333333,small_mu,0.008333333333333304,0.01416666666666666,-0.004166666666666652,0.008333333333333304,-0.004166666666666652,False
airplane vs bird,airplane,bird,4,6,0.9641666666666667,0.01127312438205723,0.9658333333333333,0.007637626158259752,0.9550000000000001,0.0043301270189222375,0.6216666666666667,0.020207259421636904,0.9466666666666667,0.01587713240271469,0.9633333333333334,0.008036375634160799,0.9550000000000001,large_mu,0.9658333333333333,small_mu,0.01083333333333325,0.019166666666666665,0.0024999999999999467,0.01083333333333325,0.0024999999999999467,True
airplane vs bird,airplane,bird,4,8,0.9666666666666667,0.011273124382057272,0.9658333333333333,0.011273124382057275,0.9541666666666666,0.005204164998665323,0.6366666666666667,0.04259792639710684,0.9466666666666667,0.01587713240271469,0.965,0.009013878188659974,0.9541666666666666,large_mu,0.9666666666666667,large_mu,0.012500000000000067,0.020000000000000018,0.0016666666666667052,0.012500000000000067,0.0016666666666667052,True
airplane vs bird,airplane,bird,4,10,0.9666666666666667,0.012583057392117913,0.965,0.009013878188659974,0.9558333333333334,0.007637626158259752,0.6491666666666667,0.037610946987989224,0.9466666666666667,0.01587713240271469,0.9641666666666667,0.0038188130791299004,0.9558333333333334,large_mu,0.9666666666666667,large_mu,0.01083333333333325,0.020000000000000018,0.0024999999999999467,0.01083333333333325,0.0024999999999999467,True
airplane vs bird,airplane,bird,4,16,0.9708333333333333,0.01181453906563151,0.9666666666666667,0.011273124382057272,0.9575,0.006614378277661519,0.6841666666666667,0.01010362971081844,0.9466666666666667,0.01587713240271469,0.9641666666666667,0.008036375634160813,0.9575,large_mu,0.9708333333333333,large_mu,0.013333333333333308,0.02416666666666667,0.006666666666666599,0.013333333333333308,0.006666666666666599,True
airplane vs bird,airplane,bird,4,24,0.9691666666666666,0.008779711460710663,0.9691666666666666,0.01127312438205723,0.9558333333333332,0.006291528696058996,0.7058333333333332,0.016645820296198467,0.9466666666666667,0.01587713240271469,0.965,0.009013878188660016,0.9558333333333332,large_mu,0.9691666666666666,large_mu,0.01333333333333342,0.022499999999999964,0.004166666666666652,0.01333333333333342,0.004166666666666652,True
airplane vs bird,airplane,bird,8,1,0.9508333333333333,0.0166458202961985,0.9583333333333334,0.017017148213885135,0.9508333333333333,0.005204164998665346,0.5850000000000001,0.04337337893224374,0.9466666666666667,0.01587713240271469,0.9658333333333333,0.005204164998665346,0.9508333333333333,large_mu,0.9583333333333334,small_mu,0.007500000000000062,0.011666666666666714,-0.007499999999999951,0.007500000000000062,-0.007499999999999951,False
airplane vs bird,airplane,bird,8,2,0.9541666666666666,0.011814539065631511,0.9591666666666666,0.01607275126832165,0.9516666666666667,0.006291528696058967,0.5850000000000001,0.022220486043288957,0.9466666666666667,0.01587713240271469,0.9658333333333333,0.005204164998665346,0.9516666666666667,large_mu,0.9591666666666666,small_mu,0.007499999999999951,0.012499999999999956,-0.00666666666666671,0.007499999999999951,-0.00666666666666671,False
