pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,4,1,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,1.0
airplane vs bird,airplane,bird,0,4,2,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,0.1
airplane vs bird,airplane,bird,0,4,4,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9325,10.0
airplane vs bird,airplane,bird,0,4,6,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,1.0
airplane vs bird,airplane,bird,0,4,8,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,4,10,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,0,4,16,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,0,4,24,linear,large_mu,75,75,75,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,1.0
airplane vs bird,airplane,bird,0,4,1,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9175,0.1
airplane vs bird,airplane,bird,0,4,2,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.92,1.0
airplane vs bird,airplane,bird,0,4,4,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9225,1.0
airplane vs bird,airplane,bird,0,4,6,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,1.0
airplane vs bird,airplane,bird,0,4,8,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,4,10,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
airplane vs bird,airplane,bird,0,4,16,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,4,24,linear,small_mu,75,75,74,149,24,17804260.55623071,34112688.58516601,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,4,1,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,10.0
airplane vs bird,airplane,bird,0,4,2,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,0.1
airplane vs bird,airplane,bird,0,4,4,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,10.0
airplane vs bird,airplane,bird,0,4,6,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,8,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,1.0
airplane vs bird,airplane,bird,0,4,10,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,16,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,24,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.97,0.1
airplane vs bird,airplane,bird,0,4,1,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,2,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,0.1
airplane vs bird,airplane,bird,0,4,4,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,0.1
airplane vs bird,airplane,bird,0,4,6,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,8,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,10,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,16,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,24,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,1,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,4,2,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,4,4,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,0,4,6,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,8,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,10,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,16,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,24,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,0,4,1,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,0.1
