pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,4,1,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,10.0
airplane vs bird,airplane,bird,0,4,2,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,0.1
airplane vs bird,airplane,bird,0,4,4,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,10.0
airplane vs bird,airplane,bird,0,4,6,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,8,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,1.0
airplane vs bird,airplane,bird,0,4,10,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,16,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,1.0
airplane vs bird,airplane,bird,0,4,24,rbf,large_mu,75,75,75,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.97,0.1
airplane vs bird,airplane,bird,0,4,1,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,2,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,0.1
airplane vs bird,airplane,bird,0,4,4,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,0.1
airplane vs bird,airplane,bird,0,4,6,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,8,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,10,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,16,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,10.0
airplane vs bird,airplane,bird,0,4,24,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.97,1.0
airplane vs bird,airplane,bird,0,8,1,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,0.1
airplane vs bird,airplane,bird,0,8,2,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,4,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,6,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,10.0
airplane vs bird,airplane,bird,0,8,8,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,8,10,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,0,8,16,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,24,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,1,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
