pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs bird,airplane,bird,0,large_mu,1,linear,0.9475,0.1
airplane vs bird,airplane,bird,0,large_mu,2,linear,0.945,0.1
airplane vs bird,airplane,bird,0,large_mu,4,linear,0.9475,0.1
airplane vs bird,airplane,bird,0,large_mu,6,linear,0.945,0.1
airplane vs bird,airplane,bird,0,large_mu,8,linear,0.94,1.0
airplane vs bird,airplane,bird,0,large_mu,10,linear,0.9525,0.1
airplane vs bird,airplane,bird,0,large_mu,16,linear,0.9525,1.0
airplane vs bird,airplane,bird,0,large_mu,24,linear,0.9375,0.1
airplane vs bird,airplane,bird,0,large_mu,1,rbf,0.9475,10.0
airplane vs bird,airplane,bird,0,large_mu,2,rbf,0.945,1.0
airplane vs bird,airplane,bird,0,large_mu,4,rbf,0.955,1.0
airplane vs bird,airplane,bird,0,large_mu,6,rbf,0.9525,1.0
airplane vs bird,airplane,bird,0,large_mu,8,rbf,0.95,0.1
airplane vs bird,airplane,bird,0,large_mu,10,rbf,0.95,0.1
airplane vs bird,airplane,bird,0,large_mu,16,rbf,0.955,1.0
airplane vs bird,airplane,bird,0,large_mu,24,rbf,0.955,0.1
airplane vs bird,airplane,bird,0,large_mu,1,laplacian,0.9475,0.1
airplane vs bird,airplane,bird,0,large_mu,2,laplacian,0.945,1.0
airplane vs bird,airplane,bird,0,large_mu,4,laplacian,0.9475,0.1
airplane vs bird,airplane,bird,0,large_mu,6,laplacian,0.9425,1.0
airplane vs bird,airplane,bird,0,large_mu,8,laplacian,0.9475,1.0
airplane vs bird,airplane,bird,0,large_mu,10,laplacian,0.945,0.1
airplane vs bird,airplane,bird,0,large_mu,16,laplacian,0.9525,0.1
airplane vs bird,airplane,bird,0,large_mu,24,laplacian,0.9525,0.1
airplane vs bird,airplane,bird,0,large_mu,1,polynomial,0.955,0.1
airplane vs bird,airplane,bird,0,large_mu,2,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,4,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,6,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,8,polynomial,0.96,0.1
airplane vs bird,airplane,bird,0,large_mu,10,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,16,polynomial,0.9625,0.1
airplane vs bird,airplane,bird,0,large_mu,24,polynomial,0.95,1.0
airplane vs bird,airplane,bird,0,large_mu,1,sigmoid,0.6425,0.1
airplane vs bird,airplane,bird,0,large_mu,2,sigmoid,0.62,0.1
airplane vs bird,airplane,bird,0,large_mu,4,sigmoid,0.615,0.1
airplane vs bird,airplane,bird,0,large_mu,6,sigmoid,0.625,10.0
airplane vs bird,airplane,bird,0,large_mu,8,sigmoid,0.6175,1.0
airplane vs bird,airplane,bird,0,large_mu,10,sigmoid,0.655,10.0
airplane vs bird,airplane,bird,0,large_mu,16,sigmoid,0.6475,0.1
airplane vs bird,airplane,bird,0,large_mu,24,sigmoid,0.655,10.0
airplane vs bird,airplane,bird,0,small_mu,1,linear,0.4975,0.1
airplane vs bird,airplane,bird,0,small_mu,2,linear,0.495,0.1
airplane vs bird,airplane,bird,0,small_mu,4,linear,0.54,1.0
airplane vs bird,airplane,bird,0,small_mu,6,linear,0.5425,0.1
airplane vs bird,airplane,bird,0,small_mu,8,linear,0.5275,1.0
airplane vs bird,airplane,bird,0,small_mu,10,linear,0.5075,0.1
airplane vs bird,airplane,bird,0,small_mu,16,linear,0.5725,10.0
airplane vs bird,airplane,bird,0,small_mu,24,linear,0.5925,1.0
airplane vs bird,airplane,bird,0,small_mu,1,rbf,0.535,0.1
airplane vs bird,airplane,bird,0,small_mu,2,rbf,0.54,0.1
airplane vs bird,airplane,bird,0,small_mu,4,rbf,0.555,0.1
airplane vs bird,airplane,bird,0,small_mu,6,rbf,0.61,0.1
airplane vs bird,airplane,bird,0,small_mu,8,rbf,0.5875,0.1
airplane vs bird,airplane,bird,0,small_mu,10,rbf,0.61,1.0
airplane vs bird,airplane,bird,0,small_mu,16,rbf,0.6675,1.0
airplane vs bird,airplane,bird,0,small_mu,24,rbf,0.665,1.0
airplane vs bird,airplane,bird,0,small_mu,1,laplacian,0.5275,0.1
airplane vs bird,airplane,bird,0,small_mu,2,laplacian,0.52,0.1
airplane vs bird,airplane,bird,0,small_mu,4,laplacian,0.5525,0.1
airplane vs bird,airplane,bird,0,small_mu,6,laplacian,0.5325,0.1
airplane vs bird,airplane,bird,0,small_mu,8,laplacian,0.56,1.0
airplane vs bird,airplane,bird,0,small_mu,10,laplacian,0.575,0.1
airplane vs bird,airplane,bird,0,small_mu,16,laplacian,0.6825,0.1
airplane vs bird,airplane,bird,0,small_mu,24,laplacian,0.6875,0.1
airplane vs bird,airplane,bird,0,small_mu,1,polynomial,0.5025,0.1
airplane vs bird,airplane,bird,0,small_mu,2,polynomial,0.56,0.1
airplane vs bird,airplane,bird,0,small_mu,4,polynomial,0.56,0.1
airplane vs bird,airplane,bird,0,small_mu,6,polynomial,0.54,10.0
airplane vs bird,airplane,bird,0,small_mu,8,polynomial,0.55,0.1
airplane vs bird,airplane,bird,0,small_mu,10,polynomial,0.5475,0.1
airplane vs bird,airplane,bird,0,small_mu,16,polynomial,0.6075,0.1
airplane vs bird,airplane,bird,0,small_mu,24,polynomial,0.5975,1.0
airplane vs bird,airplane,bird,0,small_mu,1,sigmoid,0.46,0.1
airplane vs bird,airplane,bird,0,small_mu,2,sigmoid,0.48,1.0
airplane vs bird,airplane,bird,0,small_mu,4,sigmoid,0.4825,0.1
airplane vs bird,airplane,bird,0,small_mu,6,sigmoid,0.505,0.1
airplane vs bird,airplane,bird,0,small_mu,8,sigmoid,0.5125,10.0
airplane vs bird,airplane,bird,0,small_mu,10,sigmoid,0.545,0.1
airplane vs bird,airplane,bird,0,small_mu,16,sigmoid,0.5325,1.0
airplane vs bird,airplane,bird,0,small_mu,24,sigmoid,0.5625,1.0
airplane vs bird,airplane,bird,1,large_mu,1,linear,0.9275,0.1
airplane vs bird,airplane,bird,1,large_mu,2,linear,0.9275,0.1
airplane vs bird,airplane,bird,1,large_mu,4,linear,0.9225,10.0
