pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs bird,airplane,bird,0,large_mu,1,polynomial,0.955,0.1
airplane vs bird,airplane,bird,0,large_mu,2,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,4,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,6,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,8,polynomial,0.96,0.1
airplane vs bird,airplane,bird,0,large_mu,10,polynomial,0.9575,0.1
airplane vs bird,airplane,bird,0,large_mu,16,polynomial,0.9625,0.1
airplane vs bird,airplane,bird,0,large_mu,24,rbf,0.955,0.1
airplane vs bird,airplane,bird,0,small_mu,1,rbf,0.535,0.1
airplane vs bird,airplane,bird,0,small_mu,2,polynomial,0.56,0.1
airplane vs bird,airplane,bird,0,small_mu,4,polynomial,0.56,0.1
airplane vs bird,airplane,bird,0,small_mu,6,rbf,0.61,0.1
airplane vs bird,airplane,bird,0,small_mu,8,rbf,0.5875,0.1
airplane vs bird,airplane,bird,0,small_mu,10,rbf,0.61,1.0
airplane vs bird,airplane,bird,0,small_mu,16,laplacian,0.6825,0.1
airplane vs bird,airplane,bird,0,small_mu,24,laplacian,0.6875,0.1
airplane vs bird,airplane,bird,1,large_mu,1,laplacian,0.945,1.0
airplane vs bird,airplane,bird,1,large_mu,2,laplacian,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,4,laplacian,0.95,10.0
airplane vs bird,airplane,bird,1,large_mu,6,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,large_mu,8,laplacian,0.95,1.0
airplane vs bird,airplane,bird,1,large_mu,10,laplacian,0.9475,1.0
airplane vs bird,airplane,bird,1,large_mu,16,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,large_mu,24,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,small_mu,1,laplacian,0.6125,0.1
airplane vs bird,airplane,bird,1,small_mu,2,laplacian,0.6025,0.1
airplane vs bird,airplane,bird,1,small_mu,4,laplacian,0.6175,0.1
airplane vs bird,airplane,bird,1,small_mu,6,laplacian,0.61,0.1
airplane vs bird,airplane,bird,1,small_mu,8,laplacian,0.6625,0.1
airplane vs bird,airplane,bird,1,small_mu,10,laplacian,0.6525,0.1
