pair,class0,class1,rep,r,acc,probe_C,epochs
airplane vs bird,airplane,bird,0,1,0.9675,0.1,16
airplane vs bird,airplane,bird,0,2,0.9675,0.1,16
airplane vs bird,airplane,bird,0,4,0.965,0.1,16
airplane vs bird,airplane,bird,0,6,0.96,0.1,16
airplane vs bird,airplane,bird,0,8,0.9625,0.1,16
airplane vs bird,airplane,bird,0,10,0.965,0.1,16
airplane vs bird,airplane,bird,0,16,0.9675,0.1,16
airplane vs bird,airplane,bird,0,24,0.9675,0.1,16
airplane vs bird,airplane,bird,1,1,0.96,0.1,16
airplane vs bird,airplane,bird,1,2,0.96,0.1,16
airplane vs bird,airplane,bird,1,4,0.9575,0.1,16
airplane vs bird,airplane,bird,1,6,0.9575,0.1,16
airplane vs bird,airplane,bird,1,8,0.9575,0.1,16
airplane vs bird,airplane,bird,1,10,0.96,0.1,16
airplane vs bird,airplane,bird,1,16,0.955,0.1,16
airplane vs bird,airplane,bird,1,24,0.955,0.1,16
airplane vs bird,airplane,bird,2,1,0.97,0.1,16
airplane vs bird,airplane,bird,2,2,0.97,0.1,16
airplane vs bird,airplane,bird,2,4,0.9725,0.1,16
airplane vs bird,airplane,bird,2,6,0.9725,0.1,16
airplane vs bird,airplane,bird,2,8,0.975,0.1,16
airplane vs bird,airplane,bird,2,10,0.9675,0.1,16
airplane vs bird,airplane,bird,2,16,0.97,0.1,16
airplane vs bird,airplane,bird,2,24,0.9725,0.1,16
airplane vs ship,airplane,ship,0,1,0.92,0.1,16
airplane vs ship,airplane,ship,0,2,0.915,0.1,16
airplane vs ship,airplane,ship,0,4,0.925,0.1,16
airplane vs ship,airplane,ship,0,6,0.925,0.1,16
airplane vs ship,airplane,ship,0,8,0.925,0.1,16
airplane vs ship,airplane,ship,0,10,0.9225,0.1,16
airplane vs ship,airplane,ship,0,16,0.92,0.1,16
airplane vs ship,airplane,ship,0,24,0.915,0.1,16
airplane vs ship,airplane,ship,1,1,0.9275,0.1,16
airplane vs ship,airplane,ship,1,2,0.9275,0.1,16
airplane vs ship,airplane,ship,1,4,0.925,0.1,16
airplane vs ship,airplane,ship,1,6,0.925,0.1,16
airplane vs ship,airplane,ship,1,8,0.9225,0.1,16
airplane vs ship,airplane,ship,1,10,0.9225,0.1,16
airplane vs ship,airplane,ship,1,16,0.92,0.1,16
airplane vs ship,airplane,ship,1,24,0.9225,0.1,16
airplane vs ship,airplane,ship,2,1,0.9325,0.1,16
airplane vs ship,airplane,ship,2,2,0.93,0.1,16
airplane vs ship,airplane,ship,2,4,0.93,0.1,16
airplane vs ship,airplane,ship,2,6,0.935,0.1,16
airplane vs ship,airplane,ship,2,8,0.93,0.1,16
airplane vs ship,airplane,ship,2,10,0.9275,0.1,16
airplane vs ship,airplane,ship,2,16,0.9325,0.1,16
airplane vs ship,airplane,ship,2,24,0.9225,0.1,16
automobile vs truck,automobile,truck,0,1,0.895,0.1,16
automobile vs truck,automobile,truck,0,2,0.895,0.1,16
automobile vs truck,automobile,truck,0,4,0.895,0.1,16
automobile vs truck,automobile,truck,0,6,0.895,0.1,16
automobile vs truck,automobile,truck,0,8,0.8925,0.1,16
automobile vs truck,automobile,truck,0,10,0.895,0.1,16
automobile vs truck,automobile,truck,0,16,0.8975,0.1,16
automobile vs truck,automobile,truck,0,24,0.9,0.1,16
automobile vs truck,automobile,truck,1,1,0.8925,0.1,16
automobile vs truck,automobile,truck,1,2,0.895,0.1,16
