pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
automobile vs truck,automobile,truck,0,8,24,linear,large_mu,37,37,37,73,24,24054898.441138744,21035555.894427896,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,1.0
automobile vs truck,automobile,truck,0,8,24,linear,small_mu,37,37,36,73,24,24054898.441138744,21035555.894427896,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,1.0
automobile vs truck,automobile,truck,0,8,24,rbf,large_mu,37,37,37,73,24,21377.05527048349,48234.651045650106,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
automobile vs truck,automobile,truck,0,8,24,rbf,small_mu,37,37,36,73,24,21377.05527048349,48234.651045650106,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,1.0
automobile vs truck,automobile,truck,0,8,24,laplacian,large_mu,37,37,37,73,24,16587.902474018563,36751.153599949124,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
automobile vs truck,automobile,truck,0,8,24,laplacian,small_mu,37,37,36,73,24,16587.902474018563,36751.153599949124,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,0.1
automobile vs truck,automobile,truck,0,8,24,polynomial,large_mu,37,37,37,73,24,121847.79825261961,156145.5834494727,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,0.1
automobile vs truck,automobile,truck,0,8,24,polynomial,small_mu,37,37,36,73,24,121847.79825261961,156145.5834494727,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,1.0
automobile vs truck,automobile,truck,0,8,24,sigmoid,large_mu,37,37,37,65,24,32387.261122539563,19125.781426458052,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.89,0.1
automobile vs truck,automobile,truck,0,8,24,sigmoid,small_mu,37,37,36,65,24,32387.261122539563,19125.781426458052,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.87,0.1
automobile vs truck,automobile,truck,1,8,24,linear,large_mu,37,37,37,73,24,23965435.168103557,22763501.840022232,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,1.0
automobile vs truck,automobile,truck,1,8,24,linear,small_mu,37,37,36,73,24,23965435.168103557,22763501.840022232,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,1.0
automobile vs truck,automobile,truck,1,8,24,rbf,large_mu,37,37,37,73,24,21459.89034807966,49765.98932557779,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,0.1
automobile vs truck,automobile,truck,1,8,24,rbf,small_mu,37,37,36,73,24,21459.89034807966,49765.98932557779,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,1.0
automobile vs truck,automobile,truck,1,8,24,laplacian,large_mu,37,37,37,73,24,16747.43968666578,37827.7160613625,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,0.1
automobile vs truck,automobile,truck,1,8,24,laplacian,small_mu,37,37,36,73,24,16747.43968666578,37827.7160613625,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
automobile vs truck,automobile,truck,1,8,24,polynomial,large_mu,37,37,37,73,24,119729.05207675802,164429.36997211954,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,0.1
automobile vs truck,automobile,truck,1,8,24,polynomial,small_mu,37,37,36,73,24,119729.05207675802,164429.36997211954,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,1.0
automobile vs truck,automobile,truck,1,8,24,sigmoid,large_mu,37,37,37,65,24,32949.34525338842,21941.354656206746,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9075,0.1
automobile vs truck,automobile,truck,1,8,24,sigmoid,small_mu,37,37,36,65,24,32949.34525338842,21941.354656206746,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9025,0.1
automobile vs truck,automobile,truck,2,8,24,linear,large_mu,37,37,37,73,24,26342691.558983743,22387675.179385882,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.935,0.1
automobile vs truck,automobile,truck,2,8,24,linear,small_mu,37,37,36,73,24,26342691.558983743,22387675.179385882,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.925,1.0
automobile vs truck,automobile,truck,2,8,24,rbf,large_mu,37,37,37,73,24,21975.647892362707,49740.90081870736,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
automobile vs truck,automobile,truck,2,8,24,rbf,small_mu,37,37,36,73,24,21975.647892362707,49740.90081870736,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
automobile vs truck,automobile,truck,2,8,24,laplacian,large_mu,37,37,37,73,24,16937.836798527394,37788.010340622655,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,1.0
automobile vs truck,automobile,truck,2,8,24,laplacian,small_mu,37,37,36,73,24,16937.836798527394,37788.010340622655,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,1.0
automobile vs truck,automobile,truck,2,8,24,polynomial,large_mu,37,37,37,73,24,128116.52192589488,164106.06549447426,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9325,0.1
automobile vs truck,automobile,truck,2,8,24,polynomial,small_mu,37,37,36,73,24,128116.52192589488,164106.06549447426,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9325,0.1
automobile vs truck,automobile,truck,2,8,24,sigmoid,large_mu,37,37,37,66,24,31575.474801138887,20529.539112584782,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.88,0.1
automobile vs truck,automobile,truck,2,8,24,sigmoid,small_mu,37,37,36,66,24,31575.474801138887,20529.539112584782,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.865,1.0
