pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
automobile vs truck,automobile,truck,0,large_mu,24,linear,0.9075,0.1
automobile vs truck,automobile,truck,0,large_mu,24,rbf,0.9225,1.0
automobile vs truck,automobile,truck,0,large_mu,24,laplacian,0.9325,0.1
automobile vs truck,automobile,truck,0,large_mu,24,polynomial,0.9175,1.0
automobile vs truck,automobile,truck,0,large_mu,24,sigmoid,0.66,1.0
automobile vs truck,automobile,truck,0,small_mu,24,linear,0.6325,0.1
automobile vs truck,automobile,truck,0,small_mu,24,rbf,0.6425,0.1
automobile vs truck,automobile,truck,0,small_mu,24,laplacian,0.615,0.1
automobile vs truck,automobile,truck,0,small_mu,24,polynomial,0.59,1.0
automobile vs truck,automobile,truck,0,small_mu,24,sigmoid,0.615,1.0
automobile vs truck,automobile,truck,1,large_mu,24,linear,0.9125,1.0
automobile vs truck,automobile,truck,1,large_mu,24,rbf,0.9425,1.0
automobile vs truck,automobile,truck,1,large_mu,24,laplacian,0.93,1.0
automobile vs truck,automobile,truck,1,large_mu,24,polynomial,0.9325,1.0
automobile vs truck,automobile,truck,1,large_mu,24,sigmoid,0.5625,1.0
automobile vs truck,automobile,truck,1,small_mu,24,linear,0.595,0.1
automobile vs truck,automobile,truck,1,small_mu,24,rbf,0.655,10.0
automobile vs truck,automobile,truck,1,small_mu,24,laplacian,0.715,0.1
automobile vs truck,automobile,truck,1,small_mu,24,polynomial,0.68,1.0
automobile vs truck,automobile,truck,1,small_mu,24,sigmoid,0.585,10.0
automobile vs truck,automobile,truck,2,large_mu,24,linear,0.9125,1.0
automobile vs truck,automobile,truck,2,large_mu,24,rbf,0.935,0.1
automobile vs truck,automobile,truck,2,large_mu,24,laplacian,0.925,0.1
automobile vs truck,automobile,truck,2,large_mu,24,polynomial,0.94,10.0
automobile vs truck,automobile,truck,2,large_mu,24,sigmoid,0.815,0.1
automobile vs truck,automobile,truck,2,small_mu,24,linear,0.66,1.0
automobile vs truck,automobile,truck,2,small_mu,24,rbf,0.745,0.1
automobile vs truck,automobile,truck,2,small_mu,24,laplacian,0.7175,1.0
automobile vs truck,automobile,truck,2,small_mu,24,polynomial,0.605,10.0
automobile vs truck,automobile,truck,2,small_mu,24,sigmoid,0.63,1.0
