kernel,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,signal_to_noise_ratio,case
laplacian,0.06463314356815292,0.06777155998415282,0.04216169318007045,0.04567105182033094,0.026427022206269614,0.018740239845779015,0.018658895150487274,0.0,7.646272509814149e-16,105.61786860720616,111.54313333331389,28.175734471334135,19.238684721779478,20.62210649128997,1.5954008306720198,large_covariance_case
linear,0.0,0.0,108.11558178529462,111.45018072220279,32.96059076236685,22.791225324549462,23.858201435386178,0.0,7.646272509814149e-16,105.61786860720616,111.54313333331389,28.175734471334135,19.238684721779478,20.62210649128997,3.280146965955989,large_covariance_case
polynomial,0.22824123484475697,0.2352808582413504,0.46529871602711265,0.4821301308073367,0.15958649444105452,0.10798655257954008,0.11767473407579777,0.0,7.646272509814149e-16,105.61786860720616,111.54313333331389,28.175734471334135,19.238684721779478,20.62210649128997,2.915652215162713,large_covariance_case
rbf,0.11334255872275137,0.11641316282704683,0.0688254067604575,0.07389450522700469,0.04165765213998765,0.029644231567562167,0.029282207218593904,0.0,7.646272509814149e-16,105.61786860720616,111.54313333331389,28.175734471334135,19.238684721779478,20.62210649128997,1.6521672063796224,large_covariance_case
sigmoid,1.3300208090738342e-10,1.2039343161921524e-10,0.21351893987476708,0.21815759919874878,0.050854065011801855,0.03636737816940885,0.03568277565960559,0.0,7.646272509814149e-16,105.61786860720616,111.54313333331389,28.175734471334135,19.238684721779478,20.62210649128997,4.19866022166006,large_covariance_case
laplacian,0.03392088278839251,0.048333256709964724,0.01680631980953984,0.03559694877670954,0.03924599194408905,0.02774789131995886,0.027769534956168,1.1000000000000003,1.1000000000000003,2.5746473015799936,21.76184703909219,21.62481938158364,15.274240228825466,15.237262495274095,0.428230221151821,small_covariance_case
linear,1.1000000000000005,1.1000000000000003,10.442605472779137,21.728874543578407,23.802976760782247,16.79480010142743,16.86392601674037,1.1000000000000003,1.1000000000000003,2.5746473015799936,21.76184703909219,21.62481938158364,15.274240228825466,15.237262495274095,0.4387100646161349,small_covariance_case
polynomial,0.1008425171830286,0.12210994045957789,0.08543374614125275,0.1766120769397805,0.19330333556504276,0.13650893119002455,0.13684315894501825,1.1000000000000003,1.1000000000000003,2.5746473015799936,21.76184703909219,21.62481938158364,15.274240228825466,15.237262495274095,0.4419672629627541,small_covariance_case
rbf,0.04120463407044314,0.05877798866502352,0.02275425898275633,0.04800284801504275,0.052863190807677686,0.03736101880869595,0.03739699226848806,1.1000000000000003,1.1000000000000003,2.5746473015799936,21.76184703909219,21.62481938158364,15.274240228825466,15.237262495274095,0.43043672988902465,small_covariance_case
sigmoid,0.06594978144912991,0.0659293157210511,0.029018886479003612,0.05961458307234001,0.06487698329351312,0.0456693694674802,0.04605555872803636,1.1000000000000003,1.1000000000000003,2.5746473015799936,21.76184703909219,21.62481938158364,15.274240228825466,15.237262495274095,0.4472909344091703,small_covariance_case
