variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.5183333333333333,rbf,"{'C': 0.5, 'gamma': 0.5}","{'top_lambda': 0.7905543097121416, 'd_norm': 136.21305148462778}",largecov220,1
KFDA-1D,1,rbf,{'gamma': 0.0021108915424718176},rbf(gamma=0.0021108915424718176),0.9033333333333333,linear,{'C': 1.0},"{'top_lambda': 51150.87091398483, 'd_norm': 0.23881625755952834}",largecov220,1
KFDA-1D,1,laplacian,{'gamma': 0.0021108915424718176},laplacian(gamma=0.0021108915424718176),0.7316666666666667,linear,{'C': 1.0},"{'top_lambda': 37966.43601106278, 'd_norm': 0.13522424574071293}",largecov220,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0021108915424718176, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0021108915424718176)",0.7916666666666666,linear,{'C': 2.0},"{'top_lambda': 10579.75934486861, 'd_norm': 1.0363999020720434}",largecov220,1
KFDA-1D,1,sigmoid,"{'gamma': 0.0021108915424718176, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0021108915424718176)",0.48333333333333334,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 15.839132126504563, 'd_norm': 0.25071560608136134}",largecov220,1
MY-large_mu,1,linear,{},linear,0.58,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.003]), 'lambdas': array([0.003]), 'gvals': array([165.2862])}",largecov220,1
MY-large_mu,1,rbf,{'gamma': 0.0021108915424718176},rbf(gamma=0.0021108915424718176),0.7666666666666667,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([8752.8748])}",largecov220,1
MY-large_mu,1,laplacian,{'gamma': 0.0021108915424718176},laplacian(gamma=0.0021108915424718176),0.715,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([8321.1455])}",largecov220,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0021108915424718176, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0021108915424718176)",0.6933333333333334,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([7637.9575])}",largecov220,1
MY-large_mu,1,sigmoid,"{'gamma': 0.0021108915424718176, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0021108915424718176)",0.615,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0014]), 'lambdas': array([0.0014]), 'gvals': array([347.7536])}",largecov220,1
MY-large_mu,2,linear,{},linear,0.7533333333333333,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.002 ]), 'lambdas': array([0.0001, 0.002 ]), 'gvals': array([4018.7457,  247.2448])}",largecov220,1
MY-large_mu,2,rbf,{'gamma': 0.0021108915424718176},rbf(gamma=0.0021108915424718176),0.8233333333333334,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'gvals': array([14188.6987,  5216.1878])}",largecov220,1
MY-large_mu,2,laplacian,{'gamma': 0.0021108915424718176},laplacian(gamma=0.0021108915424718176),0.7516666666666667,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0004]), 'lambdas': array([0.0001, 0.0004]), 'gvals': array([4574.141 , 1373.3911])}",largecov220,1
MY-large_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0021108915424718176, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0021108915424718176)",0.7966666666666666,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0009, 0.0017]), 'lambdas': array([0.0009, 0.0017]), 'gvals': array([567.1833, 290.2437])}",largecov220,1
MY-large_mu,2,sigmoid,"{'gamma': 0.0021108915424718176, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0021108915424718176)",0.7133333333333334,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0021, 0.0024]), 'lambdas': array([0.0021, 0.0024]), 'gvals': array([239.1712, 200.9873])}",largecov220,1
MY-large_mu,3,linear,{},linear,0.775,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0018, 0.0063]), 'lambdas': array([0.    , 0.0018, 0.0063]), 'gvals': array([1.9785e+09, 2.7902e+02, 7.6271e+01])}",largecov220,1
MY-large_mu,3,rbf,{'gamma': 0.0021108915424718176},rbf(gamma=0.0021108915424718176),0.865,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0002]), 'gvals': array([16148.8159,  6781.219 ,  2372.7496])}",largecov220,1
MY-large_mu,3,laplacian,{'gamma': 0.0021108915424718176},laplacian(gamma=0.0021108915424718176),0.78,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0002, 0.0004]), 'lambdas': array([0.    , 0.0002, 0.0004]), 'gvals': array([16536.4796,  2564.5686,  1232.5785])}",largecov220,1
MY-large_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0021108915424718176, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0021108915424718176)",0.8533333333333334,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0006, 0.001 , 0.0016]), 'lambdas': array([0.0006, 0.001 , 0.0016]), 'gvals': array([820.504 , 482.4864, 311.5397])}",largecov220,1
MY-large_mu,3,sigmoid,"{'gamma': 0.0021108915424718176, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0021108915424718176)",0.7533333333333333,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0016, 0.0065, 0.0108]), 'lambdas': array([0.0016, 0.0065, 0.0108]), 'gvals': array([303.0383,  73.6497,  43.3296])}",largecov220,1
MY-large_mu,4,linear,{},linear,0.895,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.001 , 0.0034, 0.004 , 0.0056]), 'lambdas': array([0.001 , 0.0034, 0.004 , 0.0056]), 'gvals': array([478.514 , 142.8511, 122.4794,  86.7109])}",largecov220,1
MY-large_mu,4,rbf,{'gamma': 0.0021108915424718176},rbf(gamma=0.0021108915424718176),0.9283333333333333,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0001]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0001]), 'gvals': array([55382.5319, 30672.6312,  8647.2271,  4355.1121])}",largecov220,1
MY-large_mu,4,laplacian,{'gamma': 0.0021108915424718176},laplacian(gamma=0.0021108915424718176),0.8133333333333334,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0006, 0.0007]), 'lambdas': array([0.    , 0.0001, 0.0006, 0.0007]), 'gvals': array([12032.1451,  3654.8412,   810.2123,   737.4218])}",largecov220,1
MY-large_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0021108915424718176, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0021108915424718176)",0.9316666666666666,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0003, 0.0007, 0.0009, 0.0022]), 'lambdas': array([0.0003, 0.0007, 0.0009, 0.0022]), 'gvals': array([1529.9488,  755.9473,  565.2522,  222.7749])}",largecov220,1
