variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.6666666666666666,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 8.190877357310141, 'd_norm': 92.92983354698643}",weak220,1
KFDA-1D,1,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5242424242424243,rbf,"{'C': 0.5, 'gamma': 0.5}","{'top_lambda': 48006.56099370888, 'd_norm': 0.21330671861436043}",weak220,1
KFDA-1D,1,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5121212121212121,rbf,"{'C': 2.0, 'gamma': 0.5}","{'top_lambda': 48462.68345974658, 'd_norm': 0.157448880596268}",weak220,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5181818181818182,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 27109.996594911347, 'd_norm': 0.8846860975137378}",weak220,1
KFDA-1D,1,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5636363636363636,linear,{'C': 0.5},"{'top_lambda': 3.841363929173946, 'd_norm': 0.28928558446857194}",weak220,1
MY-large_mu,1,linear,{},linear,0.6575757575757576,linear,{'C': 2.0},"{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([9.4229e+08])}",weak220,1
MY-large_mu,1,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5121212121212121,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([153093.0615])}",weak220,1
MY-large_mu,1,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5484848484848485,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([14213.1906])}",weak220,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5121212121212121,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([6203.9555])}",weak220,1
MY-large_mu,1,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.6727272727272727,linear,{'C': 1.0},"{'thetas': array([0.0088]), 'lambdas': array([0.0088]), 'gvals': array([53.9704])}",weak220,1
MY-large_mu,2,linear,{},linear,0.6575757575757576,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0062]), 'lambdas': array([0.    , 0.0062]), 'gvals': array([9.0243e+09, 7.7421e+01])}",weak220,1
MY-large_mu,2,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.509090909090909,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0002]), 'lambdas': array([0.0001, 0.0002]), 'gvals': array([5360.88  , 2477.4739])}",weak220,1
MY-large_mu,2,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5212121212121212,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0004]), 'lambdas': array([0.    , 0.0004]), 'gvals': array([95925.1816,  1234.3596])}",weak220,1
