kernel,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,signal_to_noise_ratio,case
laplacian,0.023608050631078934,0.04200847789851885,0.01898374770972641,0.03700821421953771,0.03974758045640756,0.028117635372104297,0.028089821704032136,0.0,7.970262512750029e-16,28.34985144606286,54.82915894004256,46.93451589187499,33.257843257827,33.135206288498544,0.47760763024422304,strong_kernel_covariance_signal
linear,0.0,2.0716708758967395e-09,35.93326421107697,54.74608445680008,51.83143031875579,36.66728346566811,36.64510964581109,0.0,7.970262512750029e-16,28.34985144606286,54.82915894004256,46.93451589187499,33.257843257827,33.135206288498544,0.6932717077281602,strong_kernel_covariance_signal
polynomial,0.05975122066168551,0.09103346509077422,0.1252405714630043,0.1985432102697048,0.19320945971712186,0.13655329172587566,0.13672089932087736,0.0,7.970262512750029e-16,28.34985144606286,54.82915894004256,46.93451589187499,33.257843257827,33.135206288498544,0.6482113849206407,strong_kernel_covariance_signal
rbf,0.03307385684508078,0.05333140510592452,0.02593816259759878,0.0496131584156961,0.05294088528485625,0.03746495146952538,0.03740903716895315,0.0,7.970262512750029e-16,28.34985144606286,54.82915894004256,46.93451589187499,33.257843257827,33.135206288498544,0.48994576607540025,strong_kernel_covariance_signal
sigmoid,4.474107398345123e-11,1.7169368026561667e-10,0.054498801424661215,0.0752392337888922,0.06526980271126386,0.046272613465049094,0.04605726110383127,0.0,7.970262512750029e-16,28.34985144606286,54.82915894004256,46.93451589187499,33.257843257827,33.135206288498544,0.8349772660681898,strong_kernel_covariance_signal
laplacian,0.026307546767662306,0.04357810924570552,0.016841726986123604,0.03580581464931413,0.039529621687019977,0.02796332045359243,0.027955314766812133,1.0999999999999999,1.0999999999999999,3.794166806249206,48.016244601644985,47.86518992584744,33.95305862958488,33.82806013966683,0.4260533308279494,weak_kernel_covariance_signal
linear,1.1000000000000003,1.1,22.76503991987876,47.94349271588493,52.79652497692217,37.43444018524796,37.35398029905313,1.0999999999999999,1.0999999999999999,3.794166806249206,48.016244601644985,47.86518992584744,33.95305862958488,33.82806013966683,0.43118443741949986,weak_kernel_covariance_signal
polynomial,0.0729108121725304,0.10019128819986518,0.08308924346076403,0.17496452942159002,0.19270012117272864,0.1365928667155459,0.1362840291608096,1.0999999999999999,1.0999999999999999,3.794166806249206,48.016244601644985,47.86518992584744,33.95305862958488,33.82806013966683,0.43118417858329305,weak_kernel_covariance_signal
rbf,0.03225148977503453,0.052904473380862155,0.022591771905898315,0.047980818853594474,0.052956053052882625,0.03746611304772882,0.03744819710271601,1.0999999999999999,1.0999999999999999,3.794166806249206,48.016244601644985,47.86518992584744,33.95305862958488,33.82806013966683,0.42661359001468385,weak_kernel_covariance_signal
sigmoid,0.04433802728047056,0.04432273166515829,0.028391020080815937,0.05933205023285696,0.0651862928420409,0.04627185988691998,0.04617658806555972,1.0999999999999999,1.0999999999999999,3.794166806249206,48.016244601644985,47.86518992584744,33.95305862958488,33.82806013966683,0.4355366572173833,weak_kernel_covariance_signal
