regime,repeat,kernel,kernel_label,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
strong500,1,linear,linear,0.0,7.873647500022617e-16,28.34985144606286,54.86870988621795,46.98496802976242,33.2483749296502,33.07732391739998,0.0,0.0,35.93326421107697,54.785575477299446,51.81510296506697,36.65405882335854,36.469437574766594
strong500,1,rbf,rbf(gamma=0.0016637686784971345),0.0,7.873647500022617e-16,28.34985144606286,54.86870988621795,46.98496802976242,33.2483749296502,33.07732391739998,0.03307654182122642,0.05336989062274495,0.025937753974104444,0.04961995972927708,0.05293659971007539,0.03746434964275036,0.03737130095139589
strong500,1,laplacian,laplacian(gamma=0.0016637686784971345),0.0,7.873647500022617e-16,28.34985144606286,54.86870988621795,46.98496802976242,33.2483749296502,33.07732391739998,0.02361235247263644,0.04181265933888931,0.018988267069779886,0.037003507163781535,0.03974527829809189,0.02811297475852806,0.02807130541957515
strong500,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016637686784971345)",0.0,7.873647500022617e-16,28.34985144606286,54.86870988621795,46.98496802976242,33.2483749296502,33.07732391739998,0.05978463951057897,0.09115052451257342,0.1253168591581226,0.19878099036151659,0.1932784183660328,0.13658243404211284,0.136294579206398
strong500,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016637686784971345)",0.0,7.873647500022617e-16,28.34985144606286,54.86870988621795,46.98496802976242,33.2483749296502,33.07732391739998,7.947285970052083e-11,1.9939923074949526e-10,0.054525426273011865,0.07536727813112572,0.06527731028768782,0.04627697351801911,0.045706062492165196
strong500,2,linear,linear,0.0,8.344986040574492e-16,28.34985144606286,54.57316703211824,46.752876730453025,33.21363887620247,33.00888146959904,0.0,6.215012627690219e-09,35.93326421107697,54.49048041540292,51.737032761993284,36.642391270894144,36.5875865817166
strong500,2,rbf,rbf(gamma=0.0016652903008560272),0.0,8.344986040574492e-16,28.34985144606286,54.57316703211824,46.752876730453025,33.21363887620247,33.00888146959904,0.03308086945536385,0.05320032136491268,0.025937078847805578,0.049577926337497295,0.052939443251036035,0.03746872598380362,0.03741806816954338
strong500,2,laplacian,laplacian(gamma=0.0016652903008560272),0.0,8.344986040574492e-16,28.34985144606286,54.57316703211824,46.752876730453025,33.21363887620247,33.00888146959904,0.023619363959178512,0.041867334438488786,0.01899563241310355,0.037007374851809126,0.03977030604764027,0.028132819039135667,0.028105844399205247
strong500,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016652903008560272)",0.0,8.344986040574492e-16,28.34985144606286,54.57316703211824,46.752876730453025,33.21363887620247,33.00888146959904,0.05983931636884123,0.09074246852476021,0.12544175504499977,0.19801450033669202,0.1931847441457498,0.13665595448634263,0.13673613142404606
strong500,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016652903008560272)",0.0,8.344986040574492e-16,28.34985144606286,54.57316703211824,46.752876730453025,33.21363887620247,33.00888146959904,5.475036224983286e-11,0.0,0.054568959317921634,0.07488666983452325,0.06520181388810678,0.04632727179143337,0.046017268897363864
strong500,3,linear,linear,0.0,7.692153997652977e-16,28.34985144606286,55.04559990179148,47.06570291540953,33.31151596762833,33.31941347849662,0.0,0.0,35.93326421107697,54.96219747769787,51.942155229207124,36.70540030275165,36.878304780950074
strong500,3,rbf,rbf(gamma=0.0016594569798995924),0.0,7.692153997652977e-16,28.34985144606286,55.04559990179148,47.06570291540953,33.31151596762833,33.31941347849662,0.033064159258652075,0.05342400333011593,0.02593965497088632,0.04964158918031392,0.05294661289345733,0.03746177878202216,0.03743774238592018
strong500,3,laplacian,laplacian(gamma=0.0016594569798995924),0.0,7.692153997652977e-16,28.34985144606286,55.04559990179148,47.06570291540953,33.31151596762833,33.31941347849662,0.023592435461421854,0.04234543991817845,0.01896734364629579,0.03701376064302248,0.039727157023490535,0.02810711231864917,0.028092315293316
strong500,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016594569798995924)",0.0,7.692153997652977e-16,28.34985144606286,55.04559990179148,47.06570291540953,33.31151596762833,33.31941347849662,0.05962970610563634,0.091207402234989,0.12496310018589049,0.1988341401109059,0.193165216639583,0.1364214866491715,0.13713198733218804
strong500,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016594569798995924)",0.0,7.692153997652977e-16,28.34985144606286,55.04559990179148,47.06570291540953,33.31151596762833,33.31941347849662,0.0,3.1568181004735473e-10,0.05440201868305017,0.07546375340102765,0.06533028395799693,0.04621359508569478,0.04644845192196475
