variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.5303030303030303,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'top_lambda': 0.6999540968391738, 'd_norm': 146.0489606987623}",strong500,1
KFDA-1D,1,rbf,{'gamma': 0.0016597722801344522},rbf(gamma=0.0016597722801344522),0.5333333333333333,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 49221.550175074684, 'd_norm': 0.19847958710641853}",strong500,1
KFDA-1D,1,laplacian,{'gamma': 0.0016597722801344522},laplacian(gamma=0.0016597722801344522),0.5272727272727272,rbf,"{'C': 0.5, 'gamma': 0.5}","{'top_lambda': 47784.80052040733, 'd_norm': 0.14543298625088175}",strong500,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0016597722801344522, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016597722801344522)",0.4909090909090909,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 36846.641296068665, 'd_norm': 0.7143470146028341}",strong500,1
KFDA-1D,1,sigmoid,"{'gamma': 0.0016597722801344522, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016597722801344522)",0.5303030303030303,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 0.699903262782709, 'd_norm': 0.1952816362215451}",strong500,1
MY-large_mu,1,linear,{},linear,0.5787878787878787,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0006]), 'lambdas': array([0.0006]), 'gvals': array([794.4535])}",strong500,1
MY-large_mu,1,rbf,{'gamma': 0.0016597722801344522},rbf(gamma=0.0016597722801344522),0.5757575757575758,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([35651.1456])}",strong500,1
MY-large_mu,1,laplacian,{'gamma': 0.0016597722801344522},laplacian(gamma=0.0016597722801344522),0.5969696969696969,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([37417.8641])}",strong500,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0016597722801344522, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016597722801344522)",0.5818181818181818,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([7815.4198])}",strong500,1
MY-large_mu,1,sigmoid,"{'gamma': 0.0016597722801344522, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016597722801344522)",0.6363636363636364,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([3.6128e+09])}",strong500,1
MY-large_mu,2,linear,{},linear,0.5787878787878787,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.   , 0.001]), 'lambdas': array([0.   , 0.001]), 'gvals': array([5.7483e+08, 4.9248e+02])}",strong500,1
MY-large_mu,2,rbf,{'gamma': 0.0016597722801344522},rbf(gamma=0.0016597722801344522),0.5727272727272728,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0., 0.]), 'lambdas': array([0., 0.]), 'gvals': array([44442.4979, 12077.4059])}",strong500,1
MY-large_mu,2,laplacian,{'gamma': 0.0016597722801344522},laplacian(gamma=0.0016597722801344522),0.5696969696969697,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'gvals': array([10881.9987,  9111.7319])}",strong500,1
MY-large_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0016597722801344522, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016597722801344522)",0.5969696969696969,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0005, 0.0011]), 'lambdas': array([0.0005, 0.0011]), 'gvals': array([1102.4799,  441.4533])}",strong500,1
MY-large_mu,2,sigmoid,"{'gamma': 0.0016597722801344522, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016597722801344522)",0.5606060606060606,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0029]), 'lambdas': array([0.    , 0.0029]), 'gvals': array([4.2939e+09, 1.6776e+02])}",strong500,1
MY-large_mu,3,linear,{},linear,0.6272727272727273,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0005, 0.0024]), 'lambdas': array([0.    , 0.0005, 0.0024]), 'gvals': array([4.7497e+08, 1.0888e+03, 2.0254e+02])}",strong500,1
MY-large_mu,3,rbf,{'gamma': 0.0016597722801344522},rbf(gamma=0.0016597722801344522),0.5787878787878787,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0003]), 'lambdas': array([0.    , 0.0001, 0.0003]), 'gvals': array([13267.1799,  4224.1438,  1930.2314])}",strong500,1
MY-large_mu,3,laplacian,{'gamma': 0.0016597722801344522},laplacian(gamma=0.0016597722801344522),0.5818181818181818,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001]), 'lambdas': array([0.    , 0.    , 0.0001]), 'gvals': array([31974.0592, 12330.9785,  3982.4015])}",strong500,1
MY-large_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0016597722801344522, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016597722801344522)",0.593939393939394,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0004, 0.0007]), 'lambdas': array([0.0001, 0.0004, 0.0007]), 'gvals': array([5615.9394, 1204.9996,  685.8529])}",strong500,1
MY-large_mu,3,sigmoid,"{'gamma': 0.0016597722801344522, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016597722801344522)",0.5666666666666667,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0021, 0.0032]), 'lambdas': array([0.    , 0.0021, 0.0032]), 'gvals': array([1.3216e+09, 2.3113e+02, 1.5368e+02])}",strong500,1
