variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.6818181818181818,linear,{'C': 2.0},"{'top_lambda': 3.9824935467094815, 'd_norm': 149.4384272610592}",weak500,1
KFDA-1D,1,rbf,{'gamma': 0.0016278853034613775},rbf(gamma=0.0016278853034613775),0.48787878787878786,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 48035.7828123039, 'd_norm': 0.19520310583164452}",weak500,1
KFDA-1D,1,laplacian,{'gamma': 0.0016278853034613775},laplacian(gamma=0.0016278853034613775),0.49696969696969695,rbf,"{'C': 1.0, 'gamma': 0.5}","{'top_lambda': 46372.45318614873, 'd_norm': 0.14204257625028105}",weak500,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0016278853034613775, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016278853034613775)",0.47878787878787876,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'coef0': 0.0}","{'top_lambda': 36625.18210525915, 'd_norm': 0.7055885044793716}",weak500,1
KFDA-1D,1,sigmoid,"{'gamma': 0.0016278853034613775, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016278853034613775)",0.6484848484848484,linear,{'C': 2.0},"{'top_lambda': 2.9273981728181804, 'd_norm': 0.1961670896173412}",weak500,1
MY-large_mu,1,linear,{},linear,0.6757575757575758,linear,{'C': 1.0},"{'thetas': array([0.0013]), 'lambdas': array([0.0013]), 'gvals': array([392.4212])}",weak500,1
MY-large_mu,1,rbf,{'gamma': 0.0016278853034613775},rbf(gamma=0.0016278853034613775),0.5212121212121212,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([103469.6122])}",weak500,1
MY-large_mu,1,laplacian,{'gamma': 0.0016278853034613775},laplacian(gamma=0.0016278853034613775),0.5333333333333333,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([28131.977])}",weak500,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0016278853034613775, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016278853034613775)",0.5242424242424243,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0002]), 'lambdas': array([0.0002]), 'gvals': array([2107.4351])}",weak500,1
MY-large_mu,1,sigmoid,"{'gamma': 0.0016278853034613775, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016278853034613775)",0.6575757575757576,linear,{'C': 0.5},"{'thetas': array([0.0005]), 'lambdas': array([0.0005]), 'gvals': array([1066.6152])}",weak500,1
MY-large_mu,2,linear,{},linear,0.7,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0016, 0.0018]), 'lambdas': array([0.0016, 0.0018]), 'gvals': array([311.6953, 269.8875])}",weak500,1
MY-large_mu,2,rbf,{'gamma': 0.0016278853034613775},rbf(gamma=0.0016278853034613775),0.5636363636363636,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0., 0.]), 'lambdas': array([0., 0.]), 'gvals': array([18217.0579, 10929.7475])}",weak500,1
MY-large_mu,2,laplacian,{'gamma': 0.0016278853034613775},laplacian(gamma=0.0016278853034613775),0.5181818181818182,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'gvals': array([30812.0276,  7249.0938])}",weak500,1
MY-large_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0016278853034613775, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016278853034613775)",0.5060606060606061,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0002]), 'lambdas': array([0.    , 0.0002]), 'gvals': array([13870.4216,  2682.3486])}",weak500,1
MY-large_mu,2,sigmoid,"{'gamma': 0.0016278853034613775, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016278853034613775)",0.6696969696969697,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0004, 0.0024]), 'lambdas': array([0.0004, 0.0024]), 'gvals': array([1255.1875,  201.5189])}",weak500,1
MY-large_mu,3,linear,{},linear,0.7212121212121212,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0036, 0.0055, 0.0077]), 'lambdas': array([0.0036, 0.0055, 0.0077]), 'gvals': array([134.0265,  88.2667,  62.1795])}",weak500,1
MY-large_mu,3,rbf,{'gamma': 0.0016278853034613775},rbf(gamma=0.0016278853034613775),0.503030303030303,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002]), 'lambdas': array([0.0001, 0.0001, 0.0002]), 'gvals': array([4898.216 , 4490.6872, 2203.0231])}",weak500,1
MY-large_mu,3,laplacian,{'gamma': 0.0016278853034613775},laplacian(gamma=0.0016278853034613775),0.4575757575757576,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0002]), 'lambdas': array([0.    , 0.    , 0.0002]), 'gvals': array([123155.8757,  12391.1033,   2089.2374])}",weak500,1
MY-large_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0016278853034613775, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016278853034613775)",0.5333333333333333,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0009, 0.0016]), 'lambdas': array([0.0001, 0.0009, 0.0016]), 'gvals': array([3449.5975,  569.6625,  305.9955])}",weak500,1
MY-large_mu,3,sigmoid,"{'gamma': 0.0016278853034613775, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016278853034613775)",0.696969696969697,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0011, 0.0029, 0.0069]), 'lambdas': array([0.0011, 0.0029, 0.0069]), 'gvals': array([469.0045, 166.7653,  69.0305])}",weak500,1
MY-large_mu,4,linear,{},linear,0.6757575757575758,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0011, 0.0032, 0.0045]), 'lambdas': array([0.    , 0.0011, 0.0032, 0.0045]), 'gvals': array([1.6712e+08, 4.6534e+02, 1.5406e+02, 1.0781e+02])}",weak500,1
MY-large_mu,4,rbf,{'gamma': 0.0016278853034613775},rbf(gamma=0.0016278853034613775),0.5363636363636364,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0002]), 'gvals': array([97905.9317, 14556.4409,  3946.4029,  2287.712 ])}",weak500,1
