r,my_best_acc,supcon_acc,kfda_acc,label,task
1,0.953125,0.9296875,0.984375,A,CIFAR100: lion vs possum
2,0.984375,0.9296875,0.984375,A,CIFAR100: lion vs possum
3,0.984375,0.9296875,0.984375,A,CIFAR100: lion vs possum
4,0.9921875,0.9296875,0.984375,A,CIFAR100: lion vs possum
5,0.96875,0.9375,0.984375,A,CIFAR100: lion vs possum
6,0.9765625,0.9453125,0.984375,A,CIFAR100: lion vs possum
32,0.96875,0.9375,0.984375,A,CIFAR100: lion vs possum
64,0.96875,0.921875,0.984375,A,CIFAR100: lion vs possum
1,0.9921875,0.984375,0.984375,B,CIFAR100: bear vs palm_tree
2,0.9921875,0.9921875,0.984375,B,CIFAR100: bear vs palm_tree
3,0.9921875,0.984375,0.984375,B,CIFAR100: bear vs palm_tree
4,0.9921875,0.984375,0.984375,B,CIFAR100: bear vs palm_tree
5,0.9921875,0.984375,0.984375,B,CIFAR100: bear vs palm_tree
6,0.984375,0.9921875,0.984375,B,CIFAR100: bear vs palm_tree
32,0.984375,0.9765625,0.984375,B,CIFAR100: bear vs palm_tree
64,0.984375,0.96875,0.984375,B,CIFAR100: bear vs palm_tree
