dataset,r1,kdmlp_r1,best_r,kdmlp_best,kdmlp_gain,supcon_best,kfda
sonar,1,0.7976190476190477,32,0.9047619047619048,0.1071428571428571,0.8690476190476191,0.6547619047619048
banana,1,0.8339622641509434,64,0.894811320754717,0.0608490566037736,0.8311320754716981,0.6834905660377358
heart-statlog,1,0.7777777777777778,64,0.8148148148148148,0.03703703703703698,0.8148148148148148,0.8333333333333334
waveform-5000,1,0.853,64,0.89,0.03700000000000003,0.879,0.834
breast-cancer,1,0.7043478260869566,64,0.7217391304347827,0.017391304347826098,0.7043478260869566,0.7217391304347827
splice,1,0.9420062695924764,64,0.957680250783699,0.015673981191222652,0.963949843260188,0.9310344827586208
diabetes,1,0.75,64,0.762987012987013,0.012987012987012991,0.7727272727272727,0.7435064935064936
Titanic,1,0.9446564885496184,3,0.950381679389313,0.005725190839694583,0.900763358778626,0.9122137404580152
segment,1,0.9945887445887446,64,1.0,0.005411255411255422,0.9945887445887446,0.935064935064935
ringnorm,1,0.9722972972972972,64,0.975,0.002702702702702786,0.9716216216216216,0.9807432432432432
hypothyroid,1,0.979456593770709,1,0.979456593770709,0.0,0.9688535453943008,0.94831013916501
breast-w,1,0.9714285714285714,1,0.9714285714285714,0.0,0.975,0.975
credit-g,1,0.73,1,0.73,0.0,0.74,0.725
