index,regime,variant,r,mean,std,n_repeats
0,diff_mean_diff_covariance,KFDA-1D,1,0.7384722222222222,0.045845326713651866,3
1,diff_mean_diff_covariance,MY-large_mu,1,0.6666666666666666,0.05703312877422895,3
2,diff_mean_diff_covariance,MY-large_mu,2,0.7861111111111111,0.017003539936447685,3
3,diff_mean_diff_covariance,MY-large_mu,3,0.8025000000000001,0.025355116731035722,3
4,diff_mean_diff_covariance,MY-large_mu,4,0.8345833333333333,0.02275701967403562,3
5,diff_mean_diff_covariance,MY-large_mu,8,0.8612500000000001,0.017445351179548537,3
6,diff_mean_diff_covariance,MY-large_mu,16,0.8866666666666667,0.013520817282989964,3
7,diff_mean_diff_covariance,MY-large_mu,32,0.8883333333333333,0.006821127309893798,3
8,diff_mean_diff_covariance,MY-large_mu,64,0.9095833333333333,0.008907315969346652,3
9,diff_mean_diff_covariance,MY-small_mu,1,0.6554166666666666,0.03670216085070622,3
10,diff_mean_diff_covariance,MY-small_mu,2,0.7430555555555555,0.02122274941171832,3
11,diff_mean_diff_covariance,MY-small_mu,3,0.7912499999999999,0.026754412927797774,3
12,diff_mean_diff_covariance,MY-small_mu,4,0.8095833333333333,0.0364458311897412,3
13,diff_mean_diff_covariance,MY-small_mu,8,0.8495833333333334,0.026342429863456238,3
14,diff_mean_diff_covariance,MY-small_mu,16,0.87125,0.015629166111259155,3
15,diff_mean_diff_covariance,MY-small_mu,32,0.8815277777777778,0.011413422085584324,3
16,diff_mean_diff_covariance,MY-small_mu,64,0.9098611111111111,0.012249811034067892,3
17,diff_mean_tiny_covariance_gap,KFDA-1D,1,0.6006944444444445,0.0775272502868316,3
18,diff_mean_tiny_covariance_gap,MY-large_mu,1,0.5598611111111111,0.05238799781261754,3
19,diff_mean_tiny_covariance_gap,MY-large_mu,2,0.5397222222222222,0.036301049622617015,3
20,diff_mean_tiny_covariance_gap,MY-large_mu,3,0.5883333333333333,0.012583057392117913,3
21,diff_mean_tiny_covariance_gap,MY-large_mu,4,0.5829166666666666,0.011326897682556875,3
22,diff_mean_tiny_covariance_gap,MY-large_mu,8,0.5777777777777778,0.0453101452133985,3
23,diff_mean_tiny_covariance_gap,MY-large_mu,16,0.6015277777777778,0.025021981077385465,3
24,diff_mean_tiny_covariance_gap,MY-large_mu,32,0.6165277777777778,0.0250323864297907,3
25,diff_mean_tiny_covariance_gap,MY-large_mu,64,0.5969444444444445,0.005626285861258072,3
26,diff_mean_tiny_covariance_gap,MY-small_mu,1,0.5018055555555555,0.0026787918780535884,3
27,diff_mean_tiny_covariance_gap,MY-small_mu,2,0.508888888888889,0.012292255164819728,3
28,diff_mean_tiny_covariance_gap,MY-small_mu,3,0.5088888888888888,0.013720507090294225,3
29,diff_mean_tiny_covariance_gap,MY-small_mu,4,0.5216666666666666,0.029846249531743727,3
30,diff_mean_tiny_covariance_gap,MY-small_mu,8,0.5145833333333333,0.012104865871944943,3
31,diff_mean_tiny_covariance_gap,MY-small_mu,16,0.5405555555555556,0.03409121071695965,3
32,diff_mean_tiny_covariance_gap,MY-small_mu,32,0.55625,0.011614466553971942,3
33,diff_mean_tiny_covariance_gap,MY-small_mu,64,0.5855555555555556,0.029645865054250146,3
34,same_mean_diff_covariance,KFDA-1D,1,0.6861111111111112,0.04423213177636234,3
35,same_mean_diff_covariance,MY-large_mu,1,0.6222222222222222,0.030927034799370628,3
36,same_mean_diff_covariance,MY-large_mu,2,0.6668055555555555,0.07101977098224388,3
37,same_mean_diff_covariance,MY-large_mu,3,0.6841666666666667,0.009013878188660016,3
38,same_mean_diff_covariance,MY-large_mu,4,0.7055555555555556,0.080417026481636,3
39,same_mean_diff_covariance,MY-large_mu,8,0.7955555555555556,0.007087417123429481,3
40,same_mean_diff_covariance,MY-large_mu,16,0.82,0.017460272366464136,3
41,same_mean_diff_covariance,MY-large_mu,32,0.8150000000000001,0.014813657362192622,3
42,same_mean_diff_covariance,MY-large_mu,64,0.8615277777777778,0.00024056261216238168,3
43,same_mean_diff_covariance,MY-small_mu,1,0.5719444444444445,0.08720320033202993,3
44,same_mean_diff_covariance,MY-small_mu,2,0.7030555555555554,0.0718618144105085,3
45,same_mean_diff_covariance,MY-small_mu,3,0.6541666666666667,0.06873863542433754,3
46,same_mean_diff_covariance,MY-small_mu,4,0.7600000000000001,0.04282555052509863,3
47,same_mean_diff_covariance,MY-small_mu,8,0.7958333333333334,0.011273124382057203,3
48,same_mean_diff_covariance,MY-small_mu,16,0.8161111111111111,0.015396007178389983,3
49,same_mean_diff_covariance,MY-small_mu,32,0.8129166666666666,0.011614466553971942,3
50,same_mean_diff_covariance,MY-small_mu,64,0.8663888888888889,0.008988160937424139,3
