regime,variant,r,stage1_kernel,stage1_label,n_selected
diff_mean_diff_covariance,KFDA-1D,1,rbf,rbf(gamma=0.006923274592570135),1
diff_mean_diff_covariance,MY-large_mu,1,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,2,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,4,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,10,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,1,linear,linear,1
diff_mean_diff_covariance,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,4,rbf,rbf(gamma=0.006923274592570135),1
diff_mean_diff_covariance,MY-small_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,10,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,24,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.006923274592570135)",1
diff_mean_diff_covariance,MY-small_mu,32,linear,linear,1
diff_mean_tiny_covariance_gap,KFDA-1D,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0070126567876872626)",1
diff_mean_tiny_covariance_gap,MY-large_mu,1,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,2,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,3,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,4,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,6,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.0070126567876872626)",1
diff_mean_tiny_covariance_gap,MY-large_mu,10,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,12,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.0070126567876872626)",1
diff_mean_tiny_covariance_gap,MY-large_mu,24,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,32,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0070126567876872626)",1
