regime,repeat,variant,r,validation_seconds,refit_seconds,total_seconds
same_mean_diff_covariance,1,KFDA-1D,1,0.4616734170122072,0.13163504202384502,0.5933087500743568
same_mean_diff_covariance,1,MY-large_mu,1,0.5624987080227584,0.20653750002384186,0.7690369159681723
same_mean_diff_covariance,1,MY-large_mu,2,0.4787082920083776,0.23588612501043826,0.7145945420488715
same_mean_diff_covariance,1,MY-large_mu,3,0.5831996250199154,0.24112695804797113,0.8243267909856513
same_mean_diff_covariance,1,MY-large_mu,4,0.5617795829894021,0.1826860000146553,0.7444658749736845
same_mean_diff_covariance,1,MY-large_mu,8,0.6581727919401601,0.22357233299408108,0.8817457079421729
same_mean_diff_covariance,1,MY-large_mu,16,0.9137499580392614,0.2686687500681728,1.1824189580511302
same_mean_diff_covariance,1,MY-large_mu,32,0.9563133339397609,0.2847967090783641,1.2411102920304984
same_mean_diff_covariance,1,MY-large_mu,64,1.1510604169452563,0.35793295805342495,1.5089936669683084
same_mean_diff_covariance,1,MY-small_mu,1,0.551306709065102,0.21754670795053244,0.7688536250498146
same_mean_diff_covariance,1,MY-small_mu,2,0.5388683329802006,0.1765307920286432,0.7153997080167755
same_mean_diff_covariance,1,MY-small_mu,3,0.5312336659990251,0.19302508409600705,0.7242589999223128
same_mean_diff_covariance,1,MY-small_mu,4,0.5016147500136867,0.21498104208149016,0.716596124926582
same_mean_diff_covariance,1,MY-small_mu,8,0.6812712081009522,0.21114212495740503,0.8924137080321088
same_mean_diff_covariance,1,MY-small_mu,16,0.7898632080759853,0.24401775002479553,1.0338811660185456
same_mean_diff_covariance,1,MY-small_mu,32,0.8481030410621315,0.25952875008806586,1.1076319579733536
same_mean_diff_covariance,1,MY-small_mu,64,1.078377416008152,0.3127832500031218,1.3911608749767765
same_mean_diff_covariance,2,KFDA-1D,1,0.4613884579157457,0.12178683409001678,0.5831754578975961
same_mean_diff_covariance,2,MY-large_mu,1,0.5938273329520598,0.24842512502800673,0.8422528749797493
same_mean_diff_covariance,2,MY-large_mu,2,0.5125484170857817,0.23702970799058676,0.74957829201594
same_mean_diff_covariance,2,MY-large_mu,3,0.5271575000369921,0.21129679190926254,0.7384545829845592
same_mean_diff_covariance,2,MY-large_mu,4,0.5628959590103477,0.22430004109628499,0.7871961669297889
same_mean_diff_covariance,2,MY-large_mu,8,0.5883021659683436,0.23328725004103035,0.8215895829489455
same_mean_diff_covariance,2,MY-large_mu,16,0.7622455409727991,0.2719700000016019,1.034215750056319
same_mean_diff_covariance,2,MY-large_mu,32,0.7418436659500003,0.25127750006504357,0.9931218749843538
same_mean_diff_covariance,2,MY-large_mu,64,1.1034914589254186,0.3363787500420585,1.439870374975726
same_mean_diff_covariance,2,MY-small_mu,1,0.5273394579999149,0.2241650829091668,0.7515048750210553
same_mean_diff_covariance,2,MY-small_mu,2,0.5763988330727443,0.1927104169735685,0.7691094999900088
same_mean_diff_covariance,2,MY-small_mu,3,0.5353894169675186,0.22212016698904335,0.7575100000249222
same_mean_diff_covariance,2,MY-small_mu,4,0.5837676249211654,0.19145362498238683,0.7752214169595391
same_mean_diff_covariance,2,MY-small_mu,8,0.5953443750040606,0.20393883308861405,0.7992833749158308
same_mean_diff_covariance,2,MY-small_mu,16,0.7818191249389201,0.30902629101183265,1.0908455420285463
same_mean_diff_covariance,2,MY-small_mu,32,0.8537025410914794,0.2941534579731524,1.1478561660042033
same_mean_diff_covariance,2,MY-small_mu,64,1.0093509160215035,0.34275458299089223,1.3521056250901893
same_mean_diff_covariance,3,KFDA-1D,1,0.4649763338966295,0.19089149998035282,0.6558680839370936
same_mean_diff_covariance,3,MY-large_mu,1,0.5063848330173641,0.20779270899947733,0.7141778749646619
same_mean_diff_covariance,3,MY-large_mu,2,0.5159057090058923,0.18746512499637902,0.7033713340060785
same_mean_diff_covariance,3,MY-large_mu,3,0.573248083004728,0.1675998750142753,0.7408481660531834
same_mean_diff_covariance,3,MY-large_mu,4,0.5507592910435051,0.1658304580487311,0.7165899160318077
same_mean_diff_covariance,3,MY-large_mu,8,0.5891911670332775,0.19942141708452255,0.7886127500096336
same_mean_diff_covariance,3,MY-large_mu,16,0.7653530000243336,0.27217349992133677,1.0375266670016572
same_mean_diff_covariance,3,MY-large_mu,32,0.8364942090120167,0.24683454202022403,1.0833289590664208
same_mean_diff_covariance,3,MY-large_mu,64,0.9309941669926047,0.3364210840081796,1.2674156670691445
same_mean_diff_covariance,3,MY-small_mu,1,0.5159084999468178,0.20307241601403803,0.7189810409909114
same_mean_diff_covariance,3,MY-small_mu,2,0.5594072919338942,0.20258329203352332,0.7619907089974731
same_mean_diff_covariance,3,MY-small_mu,3,0.49562674993649125,0.23089916596654803,0.7265261249849573
same_mean_diff_covariance,3,MY-small_mu,4,0.5373305829707533,0.20161162491422147,0.7389424159191549
same_mean_diff_covariance,3,MY-small_mu,8,0.6216549590462819,0.19542633299715817,0.8170817090431228
same_mean_diff_covariance,3,MY-small_mu,16,0.6869831670774147,0.3370243340032175,1.0240077500930056
same_mean_diff_covariance,3,MY-small_mu,32,0.8910922079812735,0.25054391694720834,1.1416362909367308
same_mean_diff_covariance,3,MY-small_mu,64,1.009109125006944,0.33592816593591124,1.3450374170206487
diff_mean_diff_covariance,1,KFDA-1D,1,0.2797484169714153,0.10085841699037701,0.3806070419959724
diff_mean_diff_covariance,1,MY-large_mu,1,0.3991316669853404,0.14287387509830296,0.5420060829492286
diff_mean_diff_covariance,1,MY-large_mu,2,0.4036068340064958,0.13558387500233948,0.5391909169266
diff_mean_diff_covariance,1,MY-large_mu,3,0.3900820839917287,0.1367632079636678,0.5268457499332726
diff_mean_diff_covariance,1,MY-large_mu,4,0.3622526249382645,0.14089929196052253,0.5031522079370916
diff_mean_diff_covariance,1,MY-large_mu,8,0.44686504208948463,0.14514508401043713,0.5920105000259355
diff_mean_diff_covariance,1,MY-large_mu,16,0.5757548329420388,0.1948773330077529,0.7706323749152943
diff_mean_diff_covariance,1,MY-large_mu,32,0.6158100420143455,0.16927791701164097,0.7850881249178201
diff_mean_diff_covariance,1,MY-large_mu,64,0.7848418749636039,0.2924695409601554,1.0773117919452488
diff_mean_diff_covariance,1,MY-small_mu,1,0.40052358293905854,0.13712233409751207,0.5376460830448195
diff_mean_diff_covariance,1,MY-small_mu,2,0.4058276250725612,0.1308389160549268,0.5366670420626178
diff_mean_diff_covariance,1,MY-small_mu,3,0.4330727499909699,0.13392758299596608,0.5670005000429228
diff_mean_diff_covariance,1,MY-small_mu,4,0.4065445839660242,0.15856337500736117,0.5651084170676768
diff_mean_diff_covariance,1,MY-small_mu,8,0.5304972920566797,0.18899224989581853,0.719489958952181
diff_mean_diff_covariance,1,MY-small_mu,16,0.6164338339585811,0.1729482909431681,0.7893824590137228
diff_mean_diff_covariance,1,MY-small_mu,32,0.5397928749443963,0.22552699991501868,0.7653200419154018
diff_mean_diff_covariance,1,MY-small_mu,64,0.7612790829734877,0.36501495901029557,1.1262941249879077
diff_mean_diff_covariance,2,KFDA-1D,1,0.30680491705425084,0.09285870799794793,0.39966400002595037
diff_mean_diff_covariance,2,MY-large_mu,1,0.3978416670579463,0.12972116598393768,0.5275630840333179
diff_mean_diff_covariance,2,MY-large_mu,2,0.41131704207509756,0.14620162500068545,0.5575188749935478
diff_mean_diff_covariance,2,MY-large_mu,3,0.38201175001449883,0.12869066698476672,0.5107026249170303
diff_mean_diff_covariance,2,MY-large_mu,4,0.39912495808675885,0.14736895798705518,0.5464940830133855
diff_mean_diff_covariance,2,MY-large_mu,8,0.4174848749535158,0.16767274995800108,0.5851579579757527
diff_mean_diff_covariance,2,MY-large_mu,16,0.5220171249238774,0.1860891249962151,0.708106542006135
diff_mean_diff_covariance,2,MY-large_mu,32,0.5721595410723239,0.2297930830391124,0.8019531660247594
diff_mean_diff_covariance,2,MY-large_mu,64,0.7325017920229584,0.31514645798597485,1.0476485000690445
diff_mean_diff_covariance,2,MY-small_mu,1,0.37584741692990065,0.15954404196236283,0.5353919169865549
diff_mean_diff_covariance,2,MY-small_mu,2,0.4144022089894861,0.1843098331009969,0.5987122919177637
diff_mean_diff_covariance,2,MY-small_mu,3,0.4189914579037577,0.14025520801078528,0.5592469159746543
diff_mean_diff_covariance,2,MY-small_mu,4,0.405304207932204,0.151022040983662,0.5563265419332311
diff_mean_diff_covariance,2,MY-small_mu,8,0.4712479159934446,0.24772850004956126,0.7189767909003422
diff_mean_diff_covariance,2,MY-small_mu,16,0.6227477500215173,0.25071849999949336,0.8734668750548735
diff_mean_diff_covariance,2,MY-small_mu,32,0.6387552920496091,0.19545829098206013,0.8342140420572832
diff_mean_diff_covariance,2,MY-small_mu,64,0.7545813339529559,0.2878023750381544,1.0423839170252904
diff_mean_diff_covariance,3,KFDA-1D,1,0.3300917089218274,0.10563849995378405,0.43573041690979153
diff_mean_diff_covariance,3,MY-large_mu,1,0.36010016594082117,0.17814591596834362,0.5382462498964742
diff_mean_diff_covariance,3,MY-large_mu,2,0.4170799999265,0.15753266704268754,0.5746130410116166
diff_mean_diff_covariance,3,MY-large_mu,3,0.42272108409088105,0.14582208299543709,0.5685433750040829
diff_mean_diff_covariance,3,MY-large_mu,4,0.40842487500049174,0.1555276670260355,0.5639527500607073
diff_mean_diff_covariance,3,MY-large_mu,8,0.4609869590494782,0.13998583296779543,0.6009732920210809
diff_mean_diff_covariance,3,MY-large_mu,16,0.5790862909052521,0.1904939159285277,0.769580457941629
diff_mean_diff_covariance,3,MY-large_mu,32,0.6164645830867812,0.20205175003502518,0.8185165830655023
diff_mean_diff_covariance,3,MY-large_mu,64,0.7722657920094207,0.27475933404639363,1.047025417094119
diff_mean_diff_covariance,3,MY-small_mu,1,0.40559862507507205,0.15954695793334395,0.5651457500644028
diff_mean_diff_covariance,3,MY-small_mu,2,0.42903666698839515,0.1382929589599371,0.5673299169866368
diff_mean_diff_covariance,3,MY-small_mu,3,0.3671142919920385,0.15695862495340407,0.5240732079837471
diff_mean_diff_covariance,3,MY-small_mu,4,0.4553032499970868,0.1775129169691354,0.6328163329744712
diff_mean_diff_covariance,3,MY-small_mu,8,0.46513291692826897,0.14393687504343688,0.6090699170017615
diff_mean_diff_covariance,3,MY-small_mu,16,0.6002015839330852,0.21646258293185383,0.8166647088946775
diff_mean_diff_covariance,3,MY-small_mu,32,0.584089457988739,0.20731866697315127,0.7914083329960704
diff_mean_diff_covariance,3,MY-small_mu,64,0.7342449160059914,0.2558121250476688,0.9900577910011634
diff_mean_tiny_covariance_gap,1,KFDA-1D,1,0.19918358291033655,0.07242550002411008,0.2716093329945579
diff_mean_tiny_covariance_gap,1,MY-large_mu,1,0.27132270904257894,0.11418379098176956,0.3855068340199068
diff_mean_tiny_covariance_gap,1,MY-large_mu,2,0.25248254102189094,0.09699291596189141,0.3494755830615759
diff_mean_tiny_covariance_gap,1,MY-large_mu,3,0.2841407919768244,0.12708591704722494,0.4112270000623539
diff_mean_tiny_covariance_gap,1,MY-large_mu,4,0.27866579208057374,0.11719208292197436,0.3958581250626594
diff_mean_tiny_covariance_gap,1,MY-large_mu,8,0.31298525002785027,0.15042499999981374,0.46341095899697393
diff_mean_tiny_covariance_gap,1,MY-large_mu,16,0.3811085839988664,0.12643754109740257,0.5075465419795364
diff_mean_tiny_covariance_gap,1,MY-large_mu,32,0.42516345903277397,0.21452520810998976,0.6396889589959756
diff_mean_tiny_covariance_gap,1,MY-large_mu,64,0.5529988339403644,0.20323629199992865,0.756235291948542
diff_mean_tiny_covariance_gap,1,MY-small_mu,1,0.3036664999090135,0.13887549994979054,0.44254224991891533
diff_mean_tiny_covariance_gap,1,MY-small_mu,2,0.30284654104616493,0.11831795808393508,0.4211646660696715
diff_mean_tiny_covariance_gap,1,MY-small_mu,3,0.31752804201096296,0.11364854103885591,0.43117679189890623
diff_mean_tiny_covariance_gap,1,MY-small_mu,4,0.28901379194576293,0.1530202910071239,0.44203441694844514
diff_mean_tiny_covariance_gap,1,MY-small_mu,8,0.3196754999225959,0.11088200006633997,0.43055779195856303
diff_mean_tiny_covariance_gap,1,MY-small_mu,16,0.4095240830210969,0.14327179198153317,0.5527960830368102
diff_mean_tiny_covariance_gap,1,MY-small_mu,32,0.4594128750031814,0.18041504197753966,0.63982808298897
diff_mean_tiny_covariance_gap,1,MY-small_mu,64,0.5532209579832852,0.20467591600026935,0.7578972079791129
diff_mean_tiny_covariance_gap,2,KFDA-1D,1,0.2201963330153376,0.08355720806866884,0.30375366599764675
diff_mean_tiny_covariance_gap,2,MY-large_mu,1,0.24920429207850248,0.10911445808596909,0.3583189999917522
diff_mean_tiny_covariance_gap,2,MY-large_mu,2,0.2681913749547675,0.12631041696295142,0.3945022909902036
diff_mean_tiny_covariance_gap,2,MY-large_mu,3,0.2811996249947697,0.12909925007261336,0.41029929206706583
diff_mean_tiny_covariance_gap,2,MY-large_mu,4,0.3084480839315802,0.10728300001937896,0.41573133401107043
diff_mean_tiny_covariance_gap,2,MY-large_mu,8,0.32484066602773964,0.15979520906694233,0.4846362080425024
diff_mean_tiny_covariance_gap,2,MY-large_mu,16,0.44586154201533645,0.22006587509531528,0.6659276250284165
