regime,variant,r,stage1_kernel,stage1_label,n_selected
diff_mean_diff_covariance,KFDA-1D,1,linear,linear,3
diff_mean_diff_covariance,MY-large_mu,1,linear,linear,3
diff_mean_diff_covariance,MY-large_mu,2,linear,linear,3
diff_mean_diff_covariance,MY-large_mu,3,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,4,linear,linear,2
diff_mean_diff_covariance,MY-large_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,5,linear,linear,2
diff_mean_diff_covariance,MY-large_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,6,linear,linear,2
diff_mean_diff_covariance,MY-large_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,7,linear,linear,2
diff_mean_diff_covariance,MY-large_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,8,linear,linear,3
diff_mean_diff_covariance,MY-large_mu,10,linear,linear,3
diff_mean_diff_covariance,MY-large_mu,12,linear,linear,2
diff_mean_diff_covariance,MY-large_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,14,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,16,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,16,rbf,rbf(gamma=0.0015911107230262862),1
diff_mean_diff_covariance,MY-large_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,20,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,24,linear,linear,1
diff_mean_diff_covariance,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,1,linear,linear,1
diff_mean_diff_covariance,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,2,laplacian,laplacian(gamma=0.0015911107230262862),1
diff_mean_diff_covariance,MY-small_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,4,linear,linear,1
diff_mean_diff_covariance,MY-small_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,5,linear,linear,2
diff_mean_diff_covariance,MY-small_mu,5,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,6,laplacian,laplacian(gamma=0.00159936124927366),1
diff_mean_diff_covariance,MY-small_mu,6,laplacian,laplacian(gamma=0.001607100176813045),1
diff_mean_diff_covariance,MY-small_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,7,linear,linear,1
diff_mean_diff_covariance,MY-small_mu,7,rbf,rbf(gamma=0.0015911107230262862),1
diff_mean_diff_covariance,MY-small_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,8,rbf,rbf(gamma=0.0015911107230262862),1
diff_mean_diff_covariance,MY-small_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,10,linear,linear,2
diff_mean_diff_covariance,MY-small_mu,10,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,14,laplacian,laplacian(gamma=0.001607100176813045),1
diff_mean_diff_covariance,MY-small_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,16,laplacian,laplacian(gamma=0.00159936124927366),1
diff_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,16,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,20,linear,linear,1
diff_mean_diff_covariance,MY-small_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,24,rbf,rbf(gamma=0.00159936124927366),1
diff_mean_diff_covariance,MY-small_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_diff_covariance,MY-small_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.001607100176813045)",1
diff_mean_diff_covariance,MY-small_mu,32,rbf,rbf(gamma=0.001607100176813045),1
diff_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015911107230262862)",1
diff_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.00159936124927366)",1
diff_mean_tiny_covariance_gap,KFDA-1D,1,linear,linear,2
diff_mean_tiny_covariance_gap,KFDA-1D,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,1,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
