variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.6153846153846154,rbf,"{'C': 2.0, 'gamma': 0.5}","{'top_lambda': 0.11249800213199, 'd_norm': 125.09361117799237}",same_mean_diff_covariance,1
KFDA-1D,1,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.46153846153846156,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'coef0': 0.0}","{'top_lambda': 29740.68398797839, 'd_norm': 0.15910173341506106}",same_mean_diff_covariance,1
KFDA-1D,1,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6153846153846154,rbf,"{'C': 2.0, 'gamma': 0.5}","{'top_lambda': 27427.3642609038, 'd_norm': 0.11213605360772289}",same_mean_diff_covariance,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.5692307692307692,rbf,"{'C': 2.0, 'gamma': 0.5}","{'top_lambda': 17630.20960257562, 'd_norm': 0.5684099082778312}",same_mean_diff_covariance,1
KFDA-1D,1,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.3384615384615385,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'coef0': 0.0}","{'top_lambda': 0.10674728970110717, 'd_norm': 0.1566522483524195}",same_mean_diff_covariance,1
MY-large_mu,1,linear,{},linear,0.6384615384615384,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([2.2836e+09])}",same_mean_diff_covariance,1
MY-large_mu,1,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.5923076923076923,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([21838.9588])}",same_mean_diff_covariance,1
MY-large_mu,1,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.5923076923076923,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([132450.8164])}",same_mean_diff_covariance,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.6,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0003]), 'lambdas': array([0.0003]), 'gvals': array([1788.4987])}",same_mean_diff_covariance,1
MY-large_mu,1,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.4307692307692308,sigmoid,"{'C': 2.0, 'gamma': 'scale', 'coef0': 0.0}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([2.5906e+10])}",same_mean_diff_covariance,1
MY-large_mu,2,linear,{},linear,0.5,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0., 0.]), 'lambdas': array([0., 0.]), 'gvals': array([5.1688e+09, 1.4522e+09])}",same_mean_diff_covariance,1
MY-large_mu,2,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.6384615384615384,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0., 0.]), 'lambdas': array([0., 0.]), 'gvals': array([39136.0428, 11632.1473])}",same_mean_diff_covariance,1
