index,regime,variant,r,mean,std,n_repeats
0,oldstyle_diff_mean_scale_gap,KFDA-1D,1,0.9962,,1
1,oldstyle_diff_mean_scale_gap,MY-large_mu,1,0.9952,,1
2,oldstyle_diff_mean_scale_gap,MY-large_mu,2,0.995,,1
3,oldstyle_diff_mean_scale_gap,MY-large_mu,3,0.9946,,1
4,oldstyle_diff_mean_scale_gap,MY-large_mu,4,0.9948,,1
5,oldstyle_diff_mean_scale_gap,MY-small_mu,1,0.6692,,1
6,oldstyle_diff_mean_scale_gap,MY-small_mu,2,0.7418,,1
7,oldstyle_diff_mean_scale_gap,MY-small_mu,3,0.7922,,1
8,oldstyle_diff_mean_scale_gap,MY-small_mu,4,0.8316,,1
9,oldstyle_same_mean_scale_gap,KFDA-1D,1,0.9996,,1
10,oldstyle_same_mean_scale_gap,MY-large_mu,1,0.9992,,1
11,oldstyle_same_mean_scale_gap,MY-large_mu,2,0.9994,,1
12,oldstyle_same_mean_scale_gap,MY-large_mu,3,0.999,,1
13,oldstyle_same_mean_scale_gap,MY-large_mu,4,0.9992,,1
14,oldstyle_same_mean_scale_gap,MY-small_mu,1,0.6692,,1
15,oldstyle_same_mean_scale_gap,MY-small_mu,2,0.7612,,1
16,oldstyle_same_mean_scale_gap,MY-small_mu,3,0.8232,,1
17,oldstyle_same_mean_scale_gap,MY-small_mu,4,0.8532,,1
