regime,variant,r,stage1_kernel,stage1_label,n_selected
oldstyle_diff_mean_scale_gap,KFDA-1D,1,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-large_mu,1,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-large_mu,2,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-large_mu,3,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-large_mu,4,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-small_mu,1,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-small_mu,2,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-small_mu,3,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_diff_mean_scale_gap,MY-small_mu,4,rbf,rbf(gamma=0.0029468115110298557),1
oldstyle_same_mean_scale_gap,KFDA-1D,1,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-large_mu,1,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-large_mu,2,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-large_mu,3,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-large_mu,4,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-small_mu,1,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-small_mu,2,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-small_mu,3,rbf,rbf(gamma=0.0026367644557403077),1
oldstyle_same_mean_scale_gap,MY-small_mu,4,rbf,rbf(gamma=0.0026367644557403077),1
