index,regime,variant,r,stage1_kernel,stage1_label,mean,std,n_repeats
0,oldstyle_diff_mean_scale_gap,KFDA-1D,1,laplacian,laplacian(gamma=0.0029468115110298557),0.9894,,1
1,oldstyle_diff_mean_scale_gap,KFDA-1D,1,linear,linear,0.5842,,1
2,oldstyle_diff_mean_scale_gap,KFDA-1D,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.6564,,1
3,oldstyle_diff_mean_scale_gap,KFDA-1D,1,rbf,rbf(gamma=0.0029468115110298557),0.9962,,1
4,oldstyle_diff_mean_scale_gap,KFDA-1D,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.6166,,1
5,oldstyle_diff_mean_scale_gap,MY-large_mu,1,laplacian,laplacian(gamma=0.0029468115110298557),0.7408,,1
6,oldstyle_diff_mean_scale_gap,MY-large_mu,1,linear,linear,0.6,,1
7,oldstyle_diff_mean_scale_gap,MY-large_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.6602,,1
8,oldstyle_diff_mean_scale_gap,MY-large_mu,1,rbf,rbf(gamma=0.0029468115110298557),0.9952,,1
9,oldstyle_diff_mean_scale_gap,MY-large_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.644,,1
10,oldstyle_diff_mean_scale_gap,MY-large_mu,2,laplacian,laplacian(gamma=0.0029468115110298557),0.7794,,1
11,oldstyle_diff_mean_scale_gap,MY-large_mu,2,linear,linear,0.5878,,1
12,oldstyle_diff_mean_scale_gap,MY-large_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.6464,,1
13,oldstyle_diff_mean_scale_gap,MY-large_mu,2,rbf,rbf(gamma=0.0029468115110298557),0.995,,1
14,oldstyle_diff_mean_scale_gap,MY-large_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.6018,,1
15,oldstyle_diff_mean_scale_gap,MY-large_mu,3,laplacian,laplacian(gamma=0.0029468115110298557),0.7642,,1
16,oldstyle_diff_mean_scale_gap,MY-large_mu,3,linear,linear,0.6522,,1
17,oldstyle_diff_mean_scale_gap,MY-large_mu,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.663,,1
18,oldstyle_diff_mean_scale_gap,MY-large_mu,3,rbf,rbf(gamma=0.0029468115110298557),0.9946,,1
19,oldstyle_diff_mean_scale_gap,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.6236,,1
20,oldstyle_diff_mean_scale_gap,MY-large_mu,4,laplacian,laplacian(gamma=0.0029468115110298557),0.7736,,1
21,oldstyle_diff_mean_scale_gap,MY-large_mu,4,linear,linear,0.585,,1
22,oldstyle_diff_mean_scale_gap,MY-large_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.6528,,1
23,oldstyle_diff_mean_scale_gap,MY-large_mu,4,rbf,rbf(gamma=0.0029468115110298557),0.9948,,1
24,oldstyle_diff_mean_scale_gap,MY-large_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.5764,,1
25,oldstyle_diff_mean_scale_gap,MY-small_mu,1,laplacian,laplacian(gamma=0.0029468115110298557),0.5786,,1
26,oldstyle_diff_mean_scale_gap,MY-small_mu,1,linear,linear,0.4912,,1
27,oldstyle_diff_mean_scale_gap,MY-small_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.5286,,1
28,oldstyle_diff_mean_scale_gap,MY-small_mu,1,rbf,rbf(gamma=0.0029468115110298557),0.6692,,1
29,oldstyle_diff_mean_scale_gap,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.4946,,1
30,oldstyle_diff_mean_scale_gap,MY-small_mu,2,laplacian,laplacian(gamma=0.0029468115110298557),0.6382,,1
31,oldstyle_diff_mean_scale_gap,MY-small_mu,2,linear,linear,0.4986,,1
32,oldstyle_diff_mean_scale_gap,MY-small_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.5056,,1
33,oldstyle_diff_mean_scale_gap,MY-small_mu,2,rbf,rbf(gamma=0.0029468115110298557),0.7418,,1
34,oldstyle_diff_mean_scale_gap,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.546,,1
35,oldstyle_diff_mean_scale_gap,MY-small_mu,3,laplacian,laplacian(gamma=0.0029468115110298557),0.6494,,1
36,oldstyle_diff_mean_scale_gap,MY-small_mu,3,linear,linear,0.4824,,1
37,oldstyle_diff_mean_scale_gap,MY-small_mu,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.4916,,1
38,oldstyle_diff_mean_scale_gap,MY-small_mu,3,rbf,rbf(gamma=0.0029468115110298557),0.7922,,1
39,oldstyle_diff_mean_scale_gap,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.4982,,1
40,oldstyle_diff_mean_scale_gap,MY-small_mu,4,laplacian,laplacian(gamma=0.0029468115110298557),0.6684,,1
41,oldstyle_diff_mean_scale_gap,MY-small_mu,4,linear,linear,0.5216,,1
42,oldstyle_diff_mean_scale_gap,MY-small_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.5214,,1
