variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
KFDA-1D,1,linear,{},linear,0.5212121212121212,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 0.6991383141322168, 'd_norm': 118.08464893663317}",oldstyle_same_mean_scale_gap,1
KFDA-1D,1,rbf,{'gamma': 0.0026367644557403077},rbf(gamma=0.0026367644557403077),1.0,linear,{'C': 0.5},"{'top_lambda': 284995.96986452426, 'd_norm': 0.6568438205957589}",oldstyle_same_mean_scale_gap,1
KFDA-1D,1,laplacian,{'gamma': 0.0026367644557403077},laplacian(gamma=0.0026367644557403077),0.9848484848484849,linear,{'C': 0.5},"{'top_lambda': 153466.41537605252, 'd_norm': 0.2712027104384806}",oldstyle_same_mean_scale_gap,1
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0026367644557403077, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6060606060606061,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'top_lambda': 23515.136589150596, 'd_norm': 0.9433625857629651}",oldstyle_same_mean_scale_gap,1
KFDA-1D,1,sigmoid,"{'gamma': 0.0026367644557403077, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6090909090909091,rbf,"{'C': 2.0, 'gamma': 0.5}","{'top_lambda': 0.48490150600412923, 'd_norm': 0.251882489972876}",oldstyle_same_mean_scale_gap,1
MY-large_mu,1,linear,{},linear,0.7090909090909091,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0011]), 'lambdas': array([0.0011]), 'gvals': array([467.6015])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,1,rbf,{'gamma': 0.0026367644557403077},rbf(gamma=0.0026367644557403077),1.0,sigmoid,"{'C': 1.0, 'gamma': 'scale', 'coef0': 0.0}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([42633.3493])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,1,laplacian,{'gamma': 0.0026367644557403077},laplacian(gamma=0.0026367644557403077),0.793939393939394,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([32624.6784])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0026367644557403077, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.706060606060606,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([10753.906])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,1,sigmoid,"{'gamma': 0.0026367644557403077, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6272727272727273,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([4.7262e+08])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,2,linear,{},linear,0.6636363636363637,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0036]), 'lambdas': array([0.    , 0.0036]), 'gvals': array([5.0296e+08, 1.3603e+02])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,2,rbf,{'gamma': 0.0026367644557403077},rbf(gamma=0.0026367644557403077),1.0,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0002]), 'lambdas': array([0.0001, 0.0002]), 'gvals': array([5159.2109, 2790.5566])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,2,laplacian,{'gamma': 0.0026367644557403077},laplacian(gamma=0.0026367644557403077),0.7757575757575758,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0002, 0.0005]), 'lambdas': array([0.0002, 0.0005]), 'gvals': array([2373.532,  966.278])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0026367644557403077, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.693939393939394,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0042]), 'lambdas': array([0.0001, 0.0042]), 'gvals': array([3670.5322,  114.6099])}",oldstyle_same_mean_scale_gap,1
MY-large_mu,2,sigmoid,"{'gamma': 0.0026367644557403077, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6363636363636364,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0189]), 'lambdas': array([0.    , 0.0189]), 'gvals': array([2.7152e+09, 2.3998e+01])}",oldstyle_same_mean_scale_gap,1
