task,class0,class1,method,r,acc_mean,acc_std
CIFAR100: bee vs spider,bee,spider,MY-large_mu,1,0.8828125,0.011048543456039806
CIFAR100: bee vs spider,bee,spider,MY-large_mu,2,0.875,0.0
CIFAR100: bee vs spider,bee,spider,MY-large_mu,3,0.890625,0.02209708691207961
CIFAR100: bee vs spider,bee,spider,MY-large_mu,4,0.8671875,0.011048543456039806
CIFAR100: bee vs spider,bee,spider,MY-large_mu,5,0.875,0.0
CIFAR100: bee vs spider,bee,spider,MY-large_mu,6,0.859375,0.02209708691207961
CIFAR100: bee vs spider,bee,spider,MY-large_mu,32,0.8984375,0.011048543456039806
CIFAR100: bee vs spider,bee,spider,MY-large_mu,64,0.8984375,0.011048543456039806
CIFAR100: bee vs spider,bee,spider,MY-small_mu,1,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,2,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,3,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,4,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,5,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,6,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,32,0.5,0.0
CIFAR100: bee vs spider,bee,spider,MY-small_mu,64,0.53125,0.04419417382415922
CIFAR100: bee vs spider,bee,spider,SupCon,1,0.859375,0.06629126073623882
CIFAR100: bee vs spider,bee,spider,SupCon,2,0.859375,0.06629126073623882
CIFAR100: bee vs spider,bee,spider,SupCon,3,0.8515625,0.05524271728019903
CIFAR100: bee vs spider,bee,spider,SupCon,4,0.8515625,0.05524271728019903
CIFAR100: bee vs spider,bee,spider,SupCon,5,0.8515625,0.05524271728019903
CIFAR100: bee vs spider,bee,spider,SupCon,6,0.8515625,0.05524271728019903
CIFAR100: bee vs spider,bee,spider,SupCon,32,0.8671875,0.05524271728019903
CIFAR100: bee vs spider,bee,spider,SupCon,64,0.859375,0.02209708691207961
