class0,class1,ours_best_family,ours_best_acc,supcon_acc,kfda_acc,margin,ours_best_kernel,ours_best_r
chimpanzee,sweet_pepper,MY-large_mu,1.0,0.96875,0.984375,0.03125,rbf,1
lion,possum,MY-large_mu,0.984375,0.953125,0.984375,0.03125,laplacian,3
bear,palm_tree,MY-large_mu,0.953125,0.921875,0.953125,0.03125,laplacian,1
flatfish,mouse,MY-large_mu,0.875,0.859375,0.796875,0.015625,rbf,2
palm_tree,train,MY-large_mu,0.9375,0.921875,0.890625,0.015625,laplacian,1
leopard,sweet_pepper,MY-large_mu,1.0,0.984375,1.0,0.015625,rbf,1
bee,spider,MY-large_mu,0.90625,0.890625,0.84375,0.015625,rbf,2
cockroach,trout,MY-large_mu,0.984375,0.984375,0.984375,0.0,laplacian,1
oak_tree,rabbit,MY-large_mu,0.984375,0.984375,0.875,0.0,laplacian,1
orange,snake,MY-large_mu,1.0,1.0,1.0,0.0,laplacian,1
bus,cloud,MY-large_mu,1.0,1.0,1.0,0.0,linear,1
can,girl,MY-large_mu,1.0,1.0,1.0,0.0,laplacian,1
camel,train,MY-large_mu,0.96875,0.984375,0.984375,-0.015625,rbf,4
bridge,mountain,MY-large_mu,0.96875,0.984375,0.953125,-0.015625,linear,2
bed,plate,MY-large_mu,0.96875,0.984375,1.0,-0.015625,rbf,1
butterfly,pine_tree,MY-large_mu,0.96875,0.984375,0.953125,-0.015625,linear,2
crocodile,train,MY-large_mu,0.921875,0.9375,0.9375,-0.015625,rbf,1
cockroach,lizard,MY-large_mu,0.953125,0.96875,0.9375,-0.015625,laplacian,3
