task,class0,class1,r,my_large_acc,my_small_acc,supcon_acc,my_best_acc,my_best_family,margin_vs_supcon
CIFAR100: lion vs possum,lion,possum,1,0.953125,0.5,0.9296875,0.953125,MY-large_mu,0.0234375
CIFAR100: lion vs possum,lion,possum,2,0.984375,0.5,0.9296875,0.984375,MY-large_mu,0.0546875
CIFAR100: lion vs possum,lion,possum,3,0.984375,0.5,0.9296875,0.984375,MY-large_mu,0.0546875
CIFAR100: lion vs possum,lion,possum,4,0.9921875,0.5,0.9296875,0.9921875,MY-large_mu,0.0625
CIFAR100: lion vs possum,lion,possum,5,0.96875,0.5,0.9375,0.96875,MY-large_mu,0.03125
CIFAR100: lion vs possum,lion,possum,6,0.9765625,0.5,0.9453125,0.9765625,MY-large_mu,0.03125
CIFAR100: lion vs possum,lion,possum,32,0.96875,0.5,0.9375,0.96875,MY-large_mu,0.03125
CIFAR100: lion vs possum,lion,possum,64,0.96875,0.5,0.921875,0.96875,MY-large_mu,0.046875
CIFAR100: bear vs palm_tree,bear,palm_tree,1,0.9921875,0.5,0.984375,0.9921875,MY-large_mu,0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,2,0.9921875,0.5,0.9921875,0.9921875,MY-large_mu,0.0
CIFAR100: bear vs palm_tree,bear,palm_tree,3,0.9921875,0.5,0.984375,0.9921875,MY-large_mu,0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,4,0.9921875,0.5,0.984375,0.9921875,MY-large_mu,0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,5,0.9921875,0.5,0.984375,0.9921875,MY-large_mu,0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,6,0.984375,0.5,0.9921875,0.984375,MY-large_mu,-0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,32,0.984375,0.5,0.9765625,0.984375,MY-large_mu,0.0078125
CIFAR100: bear vs palm_tree,bear,palm_tree,64,0.984375,0.5,0.96875,0.984375,MY-large_mu,0.015625
CIFAR100: palm_tree vs train,palm_tree,train,1,0.9375,0.5,0.9375,0.9375,MY-large_mu,0.0
CIFAR100: palm_tree vs train,palm_tree,train,2,0.9375,0.5,0.9375,0.9375,MY-large_mu,0.0
CIFAR100: palm_tree vs train,palm_tree,train,3,0.9375,0.5,0.9375,0.9375,MY-large_mu,0.0
CIFAR100: palm_tree vs train,palm_tree,train,4,0.9453125,0.5,0.9375,0.9453125,MY-large_mu,0.0078125
CIFAR100: palm_tree vs train,palm_tree,train,5,0.953125,0.5,0.9375,0.953125,MY-large_mu,0.015625
CIFAR100: palm_tree vs train,palm_tree,train,6,0.9453125,0.5,0.9375,0.9453125,MY-large_mu,0.0078125
CIFAR100: palm_tree vs train,palm_tree,train,32,0.9609375,0.5,0.953125,0.9609375,MY-large_mu,0.0078125
CIFAR100: palm_tree vs train,palm_tree,train,64,0.9453125,0.5,0.953125,0.9453125,MY-large_mu,-0.0078125
CIFAR100: bee vs spider,bee,spider,1,0.8828125,0.5,0.859375,0.8828125,MY-large_mu,0.0234375
CIFAR100: bee vs spider,bee,spider,2,0.875,0.5,0.859375,0.875,MY-large_mu,0.015625
CIFAR100: bee vs spider,bee,spider,3,0.890625,0.5,0.8515625,0.890625,MY-large_mu,0.0390625
CIFAR100: bee vs spider,bee,spider,4,0.8671875,0.5,0.8515625,0.8671875,MY-large_mu,0.015625
CIFAR100: bee vs spider,bee,spider,5,0.875,0.5,0.8515625,0.875,MY-large_mu,0.0234375
CIFAR100: bee vs spider,bee,spider,6,0.859375,0.5,0.8515625,0.859375,MY-large_mu,0.0078125
CIFAR100: bee vs spider,bee,spider,32,0.8984375,0.5,0.8671875,0.8984375,MY-large_mu,0.03125
CIFAR100: bee vs spider,bee,spider,64,0.8984375,0.53125,0.859375,0.8984375,MY-large_mu,0.0390625
