task,class0,class1,method,r,acc_mean,acc_std
CIFAR100: lion vs possum,lion,possum,MY-large_mu,1,0.953125,0.04419417382415922
CIFAR100: lion vs possum,lion,possum,MY-large_mu,2,0.984375,0.0
CIFAR100: lion vs possum,lion,possum,MY-large_mu,3,0.984375,0.0
CIFAR100: lion vs possum,lion,possum,MY-large_mu,4,0.9921875,0.011048543456039806
CIFAR100: lion vs possum,lion,possum,MY-large_mu,5,0.96875,0.02209708691207961
CIFAR100: lion vs possum,lion,possum,MY-large_mu,6,0.9765625,0.011048543456039806
CIFAR100: lion vs possum,lion,possum,MY-large_mu,32,0.96875,0.02209708691207961
CIFAR100: lion vs possum,lion,possum,MY-large_mu,64,0.96875,0.02209708691207961
CIFAR100: lion vs possum,lion,possum,MY-small_mu,1,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,2,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,3,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,4,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,5,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,6,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,32,0.5,0.0
CIFAR100: lion vs possum,lion,possum,MY-small_mu,64,0.5,0.0
CIFAR100: lion vs possum,lion,possum,SupCon,1,0.9296875,0.03314563036811941
CIFAR100: lion vs possum,lion,possum,SupCon,2,0.9296875,0.03314563036811941
CIFAR100: lion vs possum,lion,possum,SupCon,3,0.9296875,0.03314563036811941
CIFAR100: lion vs possum,lion,possum,SupCon,4,0.9296875,0.03314563036811941
CIFAR100: lion vs possum,lion,possum,SupCon,5,0.9375,0.02209708691207961
CIFAR100: lion vs possum,lion,possum,SupCon,6,0.9453125,0.03314563036811941
CIFAR100: lion vs possum,lion,possum,SupCon,32,0.9375,0.02209708691207961
CIFAR100: lion vs possum,lion,possum,SupCon,64,0.921875,0.02209708691207961
CIFAR100: bear vs palm_tree,bear,palm_tree,MY-large_mu,1,0.9921875,0.011048543456039806
