task,class0,class1,rep,method,family,r,acc,kernel
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,1,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,2,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,3,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,4,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,5,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,6,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,32,0.953125,
CIFAR100: palm_tree vs train,palm_tree,train,0,SupCon,SupCon,64,0.953125,
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,1,0.953125,polynomial
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,2,0.953125,polynomial
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,3,0.953125,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,4,0.953125,polynomial
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,5,0.953125,polynomial
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,6,0.953125,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,32,0.953125,laplacian
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-large_mu,MY-large_mu,64,0.953125,laplacian
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,0,MY-small_mu,MY-small_mu,64,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,1,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,2,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,3,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,4,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,5,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,6,0.9375,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,32,0.953125,
CIFAR100: palm_tree vs train,palm_tree,train,1,SupCon,SupCon,64,0.953125,
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,1,0.921875,laplacian
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,2,0.921875,rbf
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,3,0.921875,rbf
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,4,0.9375,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,5,0.953125,polynomial
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,6,0.9375,laplacian
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,32,0.96875,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-large_mu,MY-large_mu,64,0.9375,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: palm_tree vs train,palm_tree,train,1,MY-small_mu,MY-small_mu,64,0.5,linear
