task,class0,class1,method,r,acc_mean,acc_std
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,1,0.9375,0.02209708691207961
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,2,0.9375,0.02209708691207961
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,3,0.9375,0.02209708691207961
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,4,0.9453125,0.011048543456039806
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,5,0.953125,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,6,0.9453125,0.011048543456039806
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,32,0.9609375,0.011048543456039806
CIFAR100: palm_tree vs train,palm_tree,train,MY-large_mu,64,0.9453125,0.011048543456039806
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,1,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,2,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,3,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,4,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,5,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,6,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,32,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,MY-small_mu,64,0.5,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,1,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,2,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,3,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,4,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,5,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,6,0.9375,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,32,0.953125,0.0
CIFAR100: palm_tree vs train,palm_tree,train,SupCon,64,0.953125,0.0
