task,class0,class1,method,r,acc_mean,acc_std
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,1,0.8984375,0.03314563036811941
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,2,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,3,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,4,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,5,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,6,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,32,0.90625,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,MY-large_mu,64,0.8984375,0.011048543456039806
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,1,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,2,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,3,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,4,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,5,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,6,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,32,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,MY-small_mu,64,0.5,0.0
CIFAR100: beaver vs possum,beaver,possum,SupCon,1,0.84375,0.0
CIFAR100: beaver vs possum,beaver,possum,SupCon,2,0.84375,0.04419417382415922
CIFAR100: beaver vs possum,beaver,possum,SupCon,3,0.8515625,0.03314563036811941
CIFAR100: beaver vs possum,beaver,possum,SupCon,4,0.859375,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,SupCon,5,0.859375,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,SupCon,6,0.859375,0.02209708691207961
CIFAR100: beaver vs possum,beaver,possum,SupCon,32,0.8671875,0.03314563036811941
CIFAR100: beaver vs possum,beaver,possum,SupCon,64,0.8359375,0.03314563036811941
