task,class0,class1,method,r,acc_mean,acc_std
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,1,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,2,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,3,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,4,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,5,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,6,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,32,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-large_mu,64,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,1,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,2,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,3,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,4,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,5,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,6,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,32,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,MY-small_mu,64,0.5,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,1,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,2,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,3,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,4,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,5,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,6,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,32,1.0,0.0
CIFAR100: clock vs tractor,clock,tractor,SupCon,64,1.0,0.0
