method,r,acc_mean,acc_std
MY-large_mu,1,0.9991666666666666,0.0
MY-large_mu,2,0.9991666666666666,0.0
MY-large_mu,3,0.9991666666666666,0.0
MY-large_mu,4,0.9991666666666666,0.0
MY-large_mu,5,0.9989583333333334,0.00029462782549432307
MY-large_mu,6,0.9989583333333334,0.00029462782549432307
MY-small_mu,1,0.5752083333333333,0.055684659018440566
MY-small_mu,2,0.5966666666666667,0.022980970388562776
MY-small_mu,3,0.6120833333333333,0.03299831645537219
MY-small_mu,4,0.6375,0.0
MY-small_mu,5,0.6364583333333333,0.001473139127472008
MY-small_mu,6,0.640625,0.00029462782549444087
SupCon,1,0.9470833333333333,0.004124789556921426
SupCon,2,0.9479166666666667,0.005303300858899111
SupCon,3,0.9475,0.005892556509887875
SupCon,4,0.9468749999999999,0.004419417382415867
SupCon,5,0.9483333333333334,0.0011785113019776065
SupCon,6,0.9491666666666667,0.0017677669529664489
