method,r,cov0_error,cov1_error,cov_gap_error
MY-large_mu,1,0.02579389561800545,0.013755882245495371,0.017826576262547786
MY-large_mu,2,0.02612776434113154,0.013763251773455531,0.01851025443826332
MY-large_mu,3,0.02646324271052148,0.013771105141027692,0.019023675927571718
MY-large_mu,4,0.026647074764972696,0.01378533100076092,0.019355961687065826
MY-large_mu,5,0.026914097419395884,0.013789357037252412,0.01977220301615956
MY-large_mu,6,0.027147308879256097,0.013807973007475214,0.02013803100249665
MY-small_mu,1,0.0030033955158263953,0.00012287770499035296,0.0031262732208167483
MY-small_mu,2,0.004242669142977583,0.00013600443706433552,0.00435980189881454
MY-small_mu,3,0.005113229960964582,0.00016439785635763096,0.005256955572378034
MY-small_mu,4,0.00572587053384168,0.00022476917470302564,0.005891096558601051
MY-small_mu,5,0.006421230546584186,0.00027252683924623776,0.0066181457177459
MY-small_mu,6,0.007029209108761045,0.0002972801891795369,0.007242336330900383
SupCon,1,0.006738041793772538,0.007421278795351656,0.0008282990687359174
SupCon,2,0.008871867212949844,0.013501263764963908,0.0096243648927518
SupCon,3,0.012476988058157588,0.02067269652086169,0.026685458511988815
SupCon,4,0.015002767701687878,0.021560039371083008,0.029767971244132038
SupCon,5,0.01602542233639444,0.023123862914398143,0.0325204108160589
SupCon,6,0.017603813664683818,0.023819444469384783,0.034365476422502095
