case,mean_scale,cov_scale,method,acc_mean,acc_std,stage1_kernel,r
hd220_case_1,0.1,2.5,KFDA-1D,0.9995833333333333,0.0005892556509888032,rbf,1
hd220_case_1,0.1,2.5,MY-large_mu,0.9997916666666666,0.00029462782549436237,rbf,1
hd220_case_1,0.1,2.5,MY-small_mu,0.8831249999999999,0.0032409060804382997,rbf,6
hd220_case_1,0.1,2.5,SupCon-feature,0.9583333333333333,0.0005892556509888032,n/a,-1
hd220_case_2,0.14,2.8,KFDA-1D,1.0,0.0,rbf,1
hd220_case_2,0.14,2.8,MY-large_mu,1.0,0.0,rbf,1
hd220_case_2,0.14,2.8,MY-small_mu,0.8814583333333333,0.016204530402191733,rbf,6
hd220_case_2,0.14,2.8,SupCon-feature,0.9437500000000001,0.0005892556509888032,n/a,-1
hd220_case_3,0.18,3.0,KFDA-1D,1.0,0.0,rbf,1
hd220_case_3,0.18,3.0,MY-large_mu,1.0,0.0,rbf,1
hd220_case_3,0.18,3.0,MY-small_mu,0.8916666666666666,0.006481812160876678,rbf,6
hd220_case_3,0.18,3.0,SupCon-feature,0.9583333333333333,0.006481812160876678,n/a,-1
