openml_id,dataset,kfda_acc,kfda_kernel,my_large_acc,my_large_kernel,my_large_r,my_small_acc,my_small_kernel,my_small_r,my_best_acc,my_best_family,supcon_acc,supcon_std,margin_my_minus_supcon
13,breast-cancer,0.7217391304347827,rbf,0.7043478260869566,linear,1,0.7043478260869566,linear,1,0.7043478260869566,MY-large_mu,0.5826086956521739,0.0,0.12173913043478268
40945,Titanic,0.9122137404580153,linear,0.950381679389313,laplacian,3,0.7843511450381679,linear,6,0.950381679389313,MY-large_mu,0.9026717557251909,0.0,0.04770992366412208
1460,banana,0.6834905660377358,linear,0.8650943396226415,laplacian,6,0.7995283018867925,laplacian,6,0.8650943396226415,MY-large_mu,0.8297169811320755,0.0,0.035377358490566
31,credit-g,0.725,linear,0.73,laplacian,1,0.71,rbf,3,0.73,MY-large_mu,0.7175,0.0,0.012499999999999956
53,heart-statlog,0.8333333333333334,rbf,0.7962962962962963,laplacian,2,0.6759259259259259,linear,1,0.7962962962962963,MY-large_mu,0.7870370370370371,0.0,0.00925925925925919
57,hypothyroid,0.94831013916501,linear,0.979456593770709,laplacian,1,0.94831013916501,laplacian,1,0.979456593770709,MY-large_mu,0.9728296885354539,0.0,0.0066269052352551094
15,breast-w,0.975,laplacian,0.9714285714285714,linear,1,0.9571428571428572,linear,6,0.9714285714285714,MY-large_mu,0.9678571428571429,0.0,0.0035714285714285587
36,segment,0.935064935064935,laplacian,0.9945887445887446,laplacian,1,0.9632034632034632,laplacian,6,0.9945887445887446,MY-large_mu,0.9945887445887446,0.0,0.0
1496,ringnorm,0.9807432432432432,rbf,0.9722972972972973,laplacian,1,0.8469594594594595,linear,6,0.9722972972972973,MY-large_mu,0.9733108108108108,0.0,-0.001013513513513531
37,diabetes,0.7435064935064936,linear,0.75,linear,1,0.6753246753246753,laplacian,4,0.75,MY-large_mu,0.762987012987013,0.0,-0.012987012987012991
60,waveform-5000,0.834,linear,0.863,laplacian,2,0.6885,laplacian,6,0.863,MY-large_mu,0.882,0.0,-0.019000000000000017
46,splice,0.9310344827586207,laplacian,0.9427899686520376,laplacian,6,0.7727272727272727,laplacian,6,0.9427899686520376,MY-large_mu,0.9623824451410659,0.0,-0.019592476489028288
40,sonar,0.6547619047619048,laplacian,0.8214285714285714,laplacian,6,0.7380952380952381,laplacian,6,0.8214285714285714,MY-large_mu,0.8571428571428571,0.0,-0.0357142857142857
