r,my_large_acc,my_small_acc,supcon_acc,kfda_acc,kfda_kernel,my_best_acc,my_best_family,margin_vs_kfda,margin_vs_supcon,openml_id,dataset
32,0.7130434782608696,0.7130434782608696,0.591304347826087,0.7217391304347827,rbf,0.7130434782608696,MY-large_mu,-0.008695652173913104,0.12173913043478257,13,breast-cancer
64,0.7217391304347827,0.7217391304347827,0.6,0.7217391304347827,rbf,0.7217391304347827,MY-large_mu,0.0,0.12173913043478268,13,breast-cancer
32,0.9607142857142856,0.9607142857142856,0.9642857142857144,0.975,laplacian,0.9607142857142856,MY-large_mu,-0.014285714285714346,-0.003571428571428781,15,breast-w
64,0.9642857142857144,0.9607142857142856,0.95,0.975,laplacian,0.9642857142857144,MY-large_mu,-0.010714285714285565,0.014285714285714457,15,breast-w
32,0.72,0.7125,0.72,0.725,linear,0.72,MY-large_mu,-0.0050000000000000044,0.0,31,credit-g
64,0.7075,0.7075,0.7025,0.725,linear,0.7075,MY-large_mu,-0.01749999999999996,0.0050000000000000044,31,credit-g
32,0.9945887445887446,0.9945887445887446,0.9945887445887446,0.935064935064935,laplacian,0.9945887445887446,MY-large_mu,0.059523809523809534,0.0,36,segment
64,1.0,0.9913419913419912,0.9945887445887446,0.935064935064935,laplacian,1.0,MY-large_mu,0.06493506493506496,0.005411255411255422,36,segment
32,0.7142857142857143,0.7435064935064936,0.7662337662337663,0.7435064935064936,linear,0.7435064935064936,MY-small_mu,0.0,-0.022727272727272707,37,diabetes
64,0.762987012987013,0.7597402597402597,0.7727272727272727,0.7435064935064936,linear,0.762987012987013,MY-large_mu,0.01948051948051943,-0.009740259740259716,37,diabetes
32,0.9047619047619048,0.7142857142857143,0.8571428571428571,0.6547619047619048,laplacian,0.9047619047619048,MY-large_mu,0.25,0.04761904761904767,40,sonar
64,0.7142857142857143,0.6309523809523809,0.8452380952380952,0.6547619047619048,laplacian,0.7142857142857143,MY-large_mu,0.059523809523809534,-0.13095238095238093,40,sonar
32,0.9490595611285266,0.817398119122257,0.963949843260188,0.9310344827586208,laplacian,0.9490595611285266,MY-large_mu,0.018025078369905856,-0.014890282131661325,46,splice
64,0.957680250783699,0.8753918495297806,0.963166144200627,0.9310344827586208,laplacian,0.957680250783699,MY-large_mu,0.02664576802507823,-0.005485893416927956,46,splice
32,0.8055555555555556,0.7222222222222222,0.8055555555555556,0.8333333333333334,rbf,0.8055555555555556,MY-large_mu,-0.02777777777777779,0.0,53,heart-statlog
64,0.8148148148148148,0.7685185185185185,0.7962962962962963,0.8333333333333334,rbf,0.8148148148148148,MY-large_mu,-0.0185185185185186,0.01851851851851849,53,heart-statlog
32,0.9642147117296224,0.9542743538767396,0.9595758780649436,0.94831013916501,linear,0.9642147117296224,MY-large_mu,0.015904572564612418,0.004638833664678765,57,hypothyroid
64,0.9768058316766072,0.9622266401590456,0.9688535453943008,0.94831013916501,linear,0.9768058316766072,MY-large_mu,0.028495692511597226,0.007952286282306376,57,hypothyroid
32,0.8595,0.794,0.8775,0.834,linear,0.8595,MY-large_mu,0.025500000000000078,-0.017999999999999905,60,waveform-5000
64,0.89,0.8445,0.8755,0.834,linear,0.89,MY-large_mu,0.05600000000000005,0.014500000000000068,60,waveform-5000
32,0.8825471698113208,0.8811320754716981,0.8311320754716981,0.6834905660377358,linear,0.8825471698113208,MY-large_mu,0.19905660377358492,0.05141509433962266,1460,banana
64,0.894811320754717,0.894811320754717,0.8188679245283019,0.6834905660377358,linear,0.894811320754717,MY-large_mu,0.2113207547169812,0.0759433962264151,1460,banana
32,0.9716216216216216,0.9445945945945946,0.9706081081081082,0.9807432432432432,rbf,0.9716216216216216,MY-large_mu,-0.009121621621621667,0.00101351351351342,1496,ringnorm
64,0.975,0.9594594594594594,0.9716216216216216,0.9807432432432432,rbf,0.975,MY-large_mu,-0.005743243243243268,0.0033783783783783994,1496,ringnorm
32,0.9446564885496184,0.898854961832061,0.900763358778626,0.9122137404580152,linear,0.9446564885496184,MY-large_mu,0.03244274809160319,0.043893129770992356,40945,Titanic
64,0.950381679389313,0.8931297709923665,0.898854961832061,0.9122137404580152,linear,0.950381679389313,MY-large_mu,0.038167938931297773,0.05152671755725191,40945,Titanic
