openml_id,task,stage1_kernel,acc_mean,acc_std
13,breast-cancer,rbf,0.7217391304347827,0.0
15,breast-w,laplacian,0.975,0.0
31,credit-g,linear,0.725,0.0
36,segment,laplacian,0.935064935064935,0.0
37,diabetes,linear,0.7435064935064936,0.0
40,sonar,laplacian,0.6547619047619048,0.0
46,splice,laplacian,0.9310344827586208,0.0
53,heart-statlog,rbf,0.8333333333333334,0.0
57,hypothyroid,linear,0.94831013916501,0.0
60,waveform-5000,linear,0.834,0.0
1460,banana,linear,0.6834905660377358,0.0
1496,ringnorm,rbf,0.9807432432432432,0.0
40945,Titanic,linear,0.9122137404580152,0.0
