openml_id,dataset,r,acc_mean,acc_std
13,breast-cancer,1,0.6347826086956522,0.0
13,breast-cancer,2,0.6956521739130435,0.0
13,breast-cancer,3,0.6956521739130435,0.0
13,breast-cancer,4,0.7043478260869566,0.0
13,breast-cancer,5,0.7043478260869566,0.0
13,breast-cancer,6,0.6956521739130435,0.0
13,breast-cancer,32,0.591304347826087,0.0
13,breast-cancer,64,0.6,0.0
15,breast-w,1,0.9714285714285714,0.0
15,breast-w,2,0.975,0.0
15,breast-w,3,0.975,0.0
15,breast-w,4,0.975,0.0
15,breast-w,5,0.975,0.0
15,breast-w,6,0.9678571428571429,0.0
15,breast-w,32,0.9642857142857143,0.0
15,breast-w,64,0.95,0.0
31,credit-g,1,0.735,0.0
31,credit-g,2,0.74,0.0
31,credit-g,3,0.7075,0.0
31,credit-g,4,0.7125,0.0
31,credit-g,5,0.72,0.0
31,credit-g,6,0.7125,0.0
31,credit-g,32,0.72,0.0
31,credit-g,64,0.7025,0.0
36,segment,1,0.8712121212121212,0.0
36,segment,2,0.8896103896103896,0.0
36,segment,3,0.9859307359307359,0.0
36,segment,4,0.9848484848484849,0.0
36,segment,5,0.9924242424242424,0.0
36,segment,6,0.9924242424242424,0.0
36,segment,32,0.9945887445887446,0.0
36,segment,64,0.9945887445887446,0.0
37,diabetes,1,0.7272727272727273,0.0
37,diabetes,2,0.75,0.0
37,diabetes,3,0.7402597402597403,0.0
37,diabetes,4,0.7532467532467533,0.0
37,diabetes,5,0.7564935064935064,0.0
37,diabetes,6,0.7662337662337663,0.0
37,diabetes,32,0.7662337662337663,0.0
37,diabetes,64,0.7727272727272727,0.0
40,sonar,1,0.6904761904761905,0.0
40,sonar,2,0.7261904761904762,0.0
40,sonar,3,0.8214285714285714,0.0
40,sonar,4,0.8452380952380952,0.0
40,sonar,5,0.8333333333333334,0.0
40,sonar,6,0.8690476190476191,0.0
40,sonar,32,0.8571428571428571,0.0
40,sonar,64,0.8452380952380952,0.0
46,splice,1,0.9608150470219435,0.0
46,splice,2,0.9600313479623824,0.0
46,splice,3,0.9608150470219435,0.0
46,splice,4,0.9608150470219435,0.0
46,splice,5,0.9608150470219435,0.0
46,splice,6,0.9608150470219435,0.0
46,splice,32,0.9639498432601881,0.0
46,splice,64,0.963166144200627,0.0
53,heart-statlog,1,0.7962962962962963,0.0
53,heart-statlog,2,0.7870370370370371,0.0
53,heart-statlog,3,0.8148148148148148,0.0
53,heart-statlog,4,0.8148148148148148,0.0
53,heart-statlog,5,0.8055555555555556,0.0
53,heart-statlog,6,0.8055555555555556,0.0
53,heart-statlog,32,0.8055555555555556,0.0
53,heart-statlog,64,0.7962962962962963,0.0
57,hypothyroid,1,0.94831013916501,0.0
57,hypothyroid,2,0.94831013916501,0.0
57,hypothyroid,3,0.94831013916501,0.0
57,hypothyroid,4,0.94831013916501,0.0
57,hypothyroid,5,0.94831013916501,0.0
57,hypothyroid,6,0.94831013916501,0.0
57,hypothyroid,32,0.9595758780649437,0.0
57,hypothyroid,64,0.9688535453943009,0.0
60,waveform-5000,1,0.8675,0.0
60,waveform-5000,2,0.878,0.0
60,waveform-5000,3,0.878,0.0
60,waveform-5000,4,0.879,0.0
60,waveform-5000,5,0.878,0.0
60,waveform-5000,6,0.8775,0.0
60,waveform-5000,32,0.8775,0.0
60,waveform-5000,64,0.8755,0.0
1460,banana,1,0.5518867924528302,0.0
1460,banana,2,0.5938679245283018,0.0
1460,banana,3,0.6216981132075472,0.0
1460,banana,4,0.6745283018867925,0.0
1460,banana,5,0.7122641509433962,0.0
1460,banana,6,0.7665094339622641,0.0
1460,banana,32,0.8311320754716981,0.0
1460,banana,64,0.8188679245283019,0.0
1496,ringnorm,1,0.9476351351351351,0.0
1496,ringnorm,2,0.9483108108108108,0.0
1496,ringnorm,3,0.9516891891891892,0.0
1496,ringnorm,4,0.9614864864864865,0.0
1496,ringnorm,5,0.9672297297297298,0.0
1496,ringnorm,6,0.9672297297297298,0.0
1496,ringnorm,32,0.9706081081081082,0.0
1496,ringnorm,64,0.9716216216216216,0.0
40945,Titanic,1,0.9007633587786259,0.0
40945,Titanic,2,0.9007633587786259,0.0
40945,Titanic,3,0.9007633587786259,0.0
40945,Titanic,4,0.9007633587786259,0.0
40945,Titanic,5,0.9007633587786259,0.0
40945,Titanic,6,0.9007633587786259,0.0
40945,Titanic,32,0.9007633587786259,0.0
40945,Titanic,64,0.898854961832061,0.0
